AnnotationAccession,SeqID,SeqType,PIRAReadCount,replicon_length,PIRASequencingCoverage,PIRALongestRepliconCoverage,PIRACopyNumber,InitialReadCount,AdditionalReadCount,InitialCopyNumberEstimate,RepliconDNAContent,Organism,Strain,TaxonomicGroup,TaxonomicSubgroup,host,isolation_source,Annotation,Genus,max_replicon_length,normalized_replicon_length
GCF_013826985.1_ASM1382698v1,NZ_CP057331.1,plasmid,146388,271498,0.539186292,0.695425562,0.777029328,133038,13350,0.775332863,210961.9086,Klebsiella oxytoca,RHB30-C02,Pseudomonadota,Gammaproteobacteria,NA,Pooled pig faecal samples collected from floor of farm,Livestock,Klebsiella,6051148,0.044867189
GCF_013826985.1_ASM1382698v1,NZ_CP057332.1,plasmid,202548,6790,29.83033873,0.695425562,45.23566771,185601,16947,42.89508519,307150.1837,Klebsiella oxytoca,RHB30-C02,Pseudomonadota,Gammaproteobacteria,NA,Pooled pig faecal samples collected from floor of farm,Livestock,Klebsiella,6051148,0.001122101
GCF_013826985.1_ASM1382698v1,NZ_CP057333.1,plasmid,151452,3498,43.29674099,0.695425562,62.25674892,151452,0,62.25934643,217774.1077,Klebsiella oxytoca,RHB30-C02,Pseudomonadota,Gammaproteobacteria,NA,Pooled pig faecal samples collected from floor of farm,Livestock,Klebsiella,6051148,0.000578072
GCF_037024855.1_ASM3702485v1,NZ_CP146190.1,chromosome,6460259,5415795,1.192855158,1.192855158,1,6433115,27144,1,5415795,Klebsiella pneumoniae,-,Pseudomonadota,Gammaproteobacteria,Homo sapiens,NA,Humans,Klebsiella,5415795,1
GCF_037024855.1_ASM3702485v1,NZ_CP146191.1,plasmid,315461,193835,1.627471819,1.192855158,1.382945694,308534,6927,1.364349903,268063.2787,Klebsiella pneumoniae,-,Pseudomonadota,Gammaproteobacteria,Homo sapiens,NA,Humans,Klebsiella,5415795,0.035790683
GCF_037024855.1_ASM3702485v1,NZ_CP146192.1,plasmid,411696,133766,3.077732757,1.192855158,2.645856055,394266,17430,2.580139539,353925.5811,Klebsiella pneumoniae,-,Pseudomonadota,Gammaproteobacteria,Homo sapiens,NA,Humans,Klebsiella,5415795,0.024699236
GCF_037024855.1_ASM3702485v1,NZ_CP146193.1,plasmid,180178,112792,1.597435988,1.192855158,1.341156583,179617,561,1.339170123,151271.7333,Klebsiella pneumoniae,-,Pseudomonadota,Gammaproteobacteria,Homo sapiens,NA,Humans,Klebsiella,5415795,0.02082649
GCF_037024855.1_ASM3702485v1,NZ_CP146194.1,plasmid,134809,84876,1.588305292,1.192855158,1.372933487,129513,5296,1.331515634,116529.1027,Klebsiella pneumoniae,-,Pseudomonadota,Gammaproteobacteria,Homo sapiens,NA,Humans,Klebsiella,5415795,0.015671937
GCF_037024855.1_ASM3702485v1,NZ_CP146195.1,plasmid,64908,11970,5.422556391,1.192855158,4.734323053,63874,1034,4.545863222,56669.84694,Klebsiella pneumoniae,-,Pseudomonadota,Gammaproteobacteria,Homo sapiens,NA,Humans,Klebsiella,5415795,0.002210202
GCF_037024855.1_ASM3702485v1,NZ_CP146196.1,plasmid,41002,6141,6.676762742,1.192855158,5.596857933,40407,595,5.597295445,34370.30457,Klebsiella pneumoniae,-,Pseudomonadota,Gammaproteobacteria,Homo sapiens,NA,Humans,Klebsiella,5415795,0.001133906
GCF_037024855.1_ASM3702485v1,NZ_CP146197.1,plasmid,51871,5596,9.2692995,1.192855158,7.763744807,51870,1,7.77068317,43445.91594,Klebsiella pneumoniae,-,Pseudomonadota,Gammaproteobacteria,Homo sapiens,NA,Humans,Klebsiella,5415795,0.001033274
GCF_016026915.1_ASM1602691v1,NZ_CP065656.1,chromosome,10346120,2504445,4.131102899,4.131102899,1,10345194,926,1,2504445,Staphylococcus epidermidis,FDAARGOS_913,Terrabacteria group,Bacillota,NA,NA,Unannotated,Staphylococcus,2504445,1
GCF_016026915.1_ASM1602691v1,NZ_CP065660.1,plasmid,495469,43211,11.46627016,4.131102899,2.851242562,469193,26276,2.77559539,123205.0423,Staphylococcus epidermidis,FDAARGOS_913,Terrabacteria group,Bacillota,NA,NA,Unannotated,Staphylococcus,2504445,0.017253723
GCF_016026915.1_ASM1602691v1,NZ_CP065659.1,plasmid,335098,32967,10.1646495,4.131102899,2.549129209,320837,14261,2.460517142,84037.14264,Staphylococcus epidermidis,FDAARGOS_913,Terrabacteria group,Bacillota,NA,NA,Unannotated,Staphylococcus,2504445,0.013163395
GCF_016026915.1_ASM1602691v1,NZ_CP065658.1,plasmid,1387705,22021,63.01734708,4.131102899,15.25437764,1387619,86,15.25436394,335916.6499,Staphylococcus epidermidis,FDAARGOS_913,Terrabacteria group,Bacillota,NA,NA,Unannotated,Staphylococcus,2504445,0.008792766
GCF_016026915.1_ASM1602691v1,NZ_CP065654.1,plasmid,1450088,11858,122.2877382,4.131102899,29.60170717,1450050,38,29.60171684,351017.0437,Staphylococcus epidermidis,FDAARGOS_913,Terrabacteria group,Bacillota,NA,NA,Unannotated,Staphylococcus,2504445,0.004734782
GCF_016026915.1_ASM1602691v1,NZ_CP065655.1,plasmid,449583,6585,68.2738041,4.131102899,16.52679999,449510,73,16.52677403,108828.9779,Staphylococcus epidermidis,FDAARGOS_913,Terrabacteria group,Bacillota,NA,NA,Unannotated,Staphylococcus,2504445,0.002629325
GCF_016026915.1_ASM1602691v1,NZ_CP065657.1,plasmid,303734,4679,64.91429793,4.131102899,15.71354632,303659,75,15.71355144,73523.68321,Staphylococcus epidermidis,FDAARGOS_913,Terrabacteria group,Bacillota,NA,NA,Unannotated,Staphylococcus,2504445,0.001868278
GCF_016026915.1_ASM1602691v1,NZ_CP065661.1,plasmid,21425,1028,20.84143969,4.131102899,5.045004541,21425,0,5.045006188,5186.264668,Staphylococcus epidermidis,FDAARGOS_913,Terrabacteria group,Bacillota,NA,NA,Unannotated,Staphylococcus,2504445,0.00041047
GCF_019977815.1_ASM1997781v1,NZ_AP025152.1,chromosome,2149115,4213929,0.51000266,0.51000266,1,2142565,6550,1,4213929,Vibrio penaeicida,TUMSAT-OK1,Pseudomonadota,Gammaproteobacteria,Penaeus japonicus,NA,Animals,Vibrio,4213929,1
GCF_019977815.1_ASM1997781v1,NZ_AP025153.1,chromosome,1222114,2489285,0.490949811,0.51000266,0.963610555,1214820,7294,0.962641667,2398701.3,Vibrio penaeicida,TUMSAT-OK1,Pseudomonadota,Gammaproteobacteria,Penaeus japonicus,NA,Animals,Vibrio,4213929,0.590727798
GCF_019977815.1_ASM1997781v1,NZ_AP025154.1,plasmid,129167,150136,0.860333298,0.51000266,1.687586751,129040,127,1.686919236,253367.5244,Vibrio penaeicida,TUMSAT-OK1,Pseudomonadota,Gammaproteobacteria,Penaeus japonicus,NA,Animals,Vibrio,4213929,0.035628507
GCF_032347795.1_ASM3234779v1,NZ_CP135450.1,chromosome,1369350,5016448,0.272972031,0.272972031,1,1365336,4014,1,5016448,Citrobacter freundii,isolateL,Pseudomonadota,Gammaproteobacteria,Homo sapiens,NA,Humans,Citrobacter,5016448,1
GCF_032347795.1_ASM3234779v1,NZ_CP135451.1,plasmid,44635,255430,0.174744548,0.272972031,0.649027978,42118,2517,0.640155505,165781.2163,Citrobacter freundii,isolateL,Pseudomonadota,Gammaproteobacteria,Homo sapiens,NA,Humans,Citrobacter,5016448,0.050918499
GCF_032347795.1_ASM3234779v1,NZ_CP135452.1,plasmid,20053,85586,0.234302339,0.272972031,0.866922123,19396,657,0.858338263,74196.39679,Citrobacter freundii,isolateL,Pseudomonadota,Gammaproteobacteria,Homo sapiens,NA,Humans,Citrobacter,5016448,0.017061076
GCF_032347795.1_ASM3234779v1,NZ_CP135453.1,plasmid,11468,4783,2.397658373,0.272972031,8.778741805,11468,0,8.783531275,41988.72206,Citrobacter freundii,isolateL,Pseudomonadota,Gammaproteobacteria,Homo sapiens,NA,Humans,Citrobacter,5016448,0.000953463
GCF_025854095.1_ASM2585409v1,NZ_CP107599.1,chromosome,6408815,3871741,1.655279886,1.655279886,1,6401530,7285,1,3871741,Acinetobacter baumannii,1326584,Pseudomonadota,Gammaproteobacteria,Homo sapiens,skin,Humans,Acinetobacter,3871741,1
GCF_025854095.1_ASM2585409v1,NZ_CP107600.1,plasmid,72654,110194,0.659328094,1.655279886,0.400433603,72491,163,0.398318194,44125.38042,Acinetobacter baumannii,1326584,Pseudomonadota,Gammaproteobacteria,Homo sapiens,skin,Humans,Acinetobacter,3871741,0.028461098
GCF_031021005.1_ASM3102100v1,NZ_CP133321.1,chromosome,3357986,4668877,0.719227771,0.719227771,1,3357748,238,1,4668877,Salmonella enterica subsp. enterica serovar Enteritidis,BAA-1045,Pseudomonadota,Gammaproteobacteria,NA,raw almonds,Plants,Salmonella,4668877,1
GCF_031021005.1_ASM3102100v1,NZ_CP133322.1,plasmid,62428,60310,1.035118554,0.719227771,1.439205759,62428,0,1.439208266,86798.49931,Salmonella enterica subsp. enterica serovar Enteritidis,BAA-1045,Pseudomonadota,Gammaproteobacteria,NA,raw almonds,Plants,Salmonella,4668877,0.012917453
GCF_031021005.1_ASM3102100v1,NZ_CP133323.1,plasmid,42802,56636,0.7557384,0.719227771,1.050912774,42582,220,1.050763652,59519.49585,Salmonella enterica subsp. enterica serovar Enteritidis,BAA-1045,Pseudomonadota,Gammaproteobacteria,NA,raw almonds,Plants,Salmonella,4668877,0.01213054
GCF_031021005.1_ASM3102100v1,NZ_CP133324.1,plasmid,87672,6230,14.07255217,0.719227771,19.56616277,87672,0,19.56619686,121897.1941,Salmonella enterica subsp. enterica serovar Enteritidis,BAA-1045,Pseudomonadota,Gammaproteobacteria,NA,raw almonds,Plants,Salmonella,4668877,0.001334368
GCF_964198735.1_Zagreb017_hybrid_assembly.fa.gz,NZ_OZ111359.1,chromosome,1859728,5286907,0.351761058,0.351761058,1,1858111,1617,1,5286907,Klebsiella pneumoniae,-,Pseudomonadota,Gammaproteobacteria,Homo sapiens,clinical material,Humans,Klebsiella,5286907,1
GCF_964198735.1_Zagreb017_hybrid_assembly.fa.gz,NZ_OZ111360.1,plasmid,86140,197961,0.435136214,0.351761058,1.249895534,84712,1428,1.237022131,247430.5699,Klebsiella pneumoniae,-,Pseudomonadota,Gammaproteobacteria,Homo sapiens,clinical material,Humans,Klebsiella,5286907,0.037443632
GCF_964198735.1_Zagreb017_hybrid_assembly.fa.gz,NZ_OZ111361.1,plasmid,11791,76728,0.153672714,0.351761058,0.444195739,11150,641,0.436866761,34082.25067,Klebsiella pneumoniae,-,Pseudomonadota,Gammaproteobacteria,Homo sapiens,clinical material,Humans,Klebsiella,5286907,0.014512833
GCF_964198735.1_Zagreb017_hybrid_assembly.fa.gz,NZ_OZ111362.1,plasmid,122157,56341,2.168172379,0.351761058,6.161239612,122157,0,6.163764662,347130.401,Klebsiella pneumoniae,-,Pseudomonadota,Gammaproteobacteria,Homo sapiens,clinical material,Humans,Klebsiella,5286907,0.010656703
GCF_964198735.1_Zagreb017_hybrid_assembly.fa.gz,NZ_OZ111363.1,plasmid,67355,5598,12.03197571,0.351761058,34.1909555,67355,0,34.20496792,191400.9689,Klebsiella pneumoniae,-,Pseudomonadota,Gammaproteobacteria,Homo sapiens,clinical material,Humans,Klebsiella,5286907,0.001058842
GCF_964198735.1_Zagreb017_hybrid_assembly.fa.gz,NZ_OZ111365.1,plasmid,123733,1552,79.72487113,0.351761058,226.5521131,123733,0,226.6449606,351608.8796,Klebsiella pneumoniae,-,Pseudomonadota,Gammaproteobacteria,Homo sapiens,clinical material,Humans,Klebsiella,5286907,0.000293555
GCF_905330215.2_AI2852v1_cpp,NZ_OW967975.1,chromosome,4364124,4869560,0.896204996,0.896204996,1,4339765,24359,1,4869560,Escherichia coli,10,Pseudomonadota,Gammaproteobacteria,Homo sapiens,Hospital Universitario Mutua de Terrassa (Terrassa),Humans,Escherichia,4869560,1
GCF_905330215.2_AI2852v1_cpp,NZ_OW967976.1,plasmid,202096,106879,1.890885955,0.896204996,2.178332784,196415,5681,2.109881069,232818.0296,Escherichia coli,10,Pseudomonadota,Gammaproteobacteria,Homo sapiens,Hospital Universitario Mutua de Terrassa (Terrassa),Humans,Escherichia,4869560,0.02194839
GCF_905330215.2_AI2852v1_cpp,NZ_OW967977.1,plasmid,322359,103714,3.108153191,0.896204996,3.490084362,319326,3033,3.468127498,361970.6095,Escherichia coli,10,Pseudomonadota,Gammaproteobacteria,Homo sapiens,Hospital Universitario Mutua de Terrassa (Terrassa),Humans,Escherichia,4869560,0.021298434
GCF_905330215.2_AI2852v1_cpp,NZ_OW967978.1,plasmid,188950,63589,2.971425876,0.896204996,3.331280294,187631,1319,3.315564953,211832.7826,Escherichia coli,10,Pseudomonadota,Gammaproteobacteria,Homo sapiens,Hospital Universitario Mutua de Terrassa (Terrassa),Humans,Escherichia,4869560,0.013058469
GCF_905330215.2_AI2852v1_cpp,NZ_OW967979.1,plasmid,135002,35225,3.832562101,0.896204996,4.272749263,135002,0,4.276434653,150507.5928,Escherichia coli,10,Pseudomonadota,Gammaproteobacteria,Homo sapiens,Hospital Universitario Mutua de Terrassa (Terrassa),Humans,Escherichia,4869560,0.007233713
GCF_905330215.2_AI2852v1_cpp,NZ_OW967980.1,plasmid,126701,12602,10.05403904,0.896204996,11.56944106,123803,2898,11.21845904,145798.0962,Escherichia coli,10,Pseudomonadota,Gammaproteobacteria,Homo sapiens,Hospital Universitario Mutua de Terrassa (Terrassa),Humans,Escherichia,4869560,0.002587913
GCF_905330215.2_AI2852v1_cpp,NZ_OW967981.1,plasmid,104968,7098,14.7883911,0.896204996,16.48672513,104967,1,16.50112548,117022.7749,Escherichia coli,10,Pseudomonadota,Gammaproteobacteria,Homo sapiens,Hospital Universitario Mutua de Terrassa (Terrassa),Humans,Escherichia,4869560,0.001457627
GCF_905330215.2_AI2852v1_cpp,NZ_OW967982.1,plasmid,63495,4073,15.58924626,0.896204996,17.3795524,63492,3,17.3947326,70786.91692,Escherichia coli,10,Pseudomonadota,Gammaproteobacteria,Homo sapiens,Hospital Universitario Mutua de Terrassa (Terrassa),Humans,Escherichia,4869560,0.000836421
GCF_030717765.1_ASM3071776v1,NZ_CP132054.1,chromosome,2709605,2864983,0.945766519,0.945766519,1,2704869,4736,1,2864983,Agrobacterium fabrum,1D1478,Pseudomonadota,Alphaproteobacteria,Salix sp.,NA,Plants,Agrobacterium,2864983,1
GCF_030717765.1_ASM3071776v1,NZ_CP132055.1,chromosome,1919920,2046689,0.938061425,0.945766519,0.992262598,1915440,4480,0.991853069,2030852.945,Agrobacterium fabrum,1D1478,Pseudomonadota,Alphaproteobacteria,Salix sp.,NA,Plants,Agrobacterium,2864983,0.714380853
GCF_030717765.1_ASM3071776v1,NZ_CP132056.1,plasmid,351509,560999,0.626576874,0.945766519,0.661911998,350990,519,0.662506931,371331.9688,Agrobacterium fabrum,1D1478,Pseudomonadota,Alphaproteobacteria,Salix sp.,NA,Plants,Agrobacterium,2864983,0.195812331
GCF_030717765.1_ASM3071776v1,NZ_CP132057.1,plasmid,64617,194790,0.331726475,0.945766519,0.350318637,64617,0,0.350748803,68238.56733,Agrobacterium fabrum,1D1478,Pseudomonadota,Alphaproteobacteria,Salix sp.,NA,Plants,Agrobacterium,2864983,0.067989932
GCF_013167395.1_ASM1316739v1,NZ_CP038319.1,chromosome,1878095,5452405,0.344452586,0.344452586,1,1868664,9431,1,5452405,Escherichia coli O157:H7,NE122,Pseudomonadota,Gammaproteobacteria,bovine,NA,Livestock,Escherichia,5452405,1
GCF_013167395.1_ASM1316739v1,NZ_CP038320.1,plasmid,62062,95338,0.650968134,0.344452586,1.93443339,61271,791,1.889862819,184425.0105,Escherichia coli O157:H7,NE122,Pseudomonadota,Gammaproteobacteria,bovine,NA,Livestock,Escherichia,5452405,0.017485495
GCF_007833435.1_ASM783343v1,NZ_CP022400.1,chromosome,1094913,4118779,0.265834365,0.265834365,1,1094458,455,1,4118779,Clostridium botulinum,Su0604,Terrabacteria group,Bacillota,NA,soil,Earth,Clostridium,4118779,1
GCF_007833435.1_ASM783343v1,NZ_CP022401.1,plasmid,72762,210144,0.346248287,0.265834365,1.302992391,72730,32,1.302496338,273816.033,Clostridium botulinum,Su0604,Terrabacteria group,Bacillota,NA,soil,Earth,Clostridium,4118779,0.051020946
GCF_007833435.1_ASM783343v1,NZ_CP022402.1,plasmid,34913,49878,0.699967922,0.265834365,2.640010094,34593,320,2.633097951,131678.4235,Clostridium botulinum,Su0604,Terrabacteria group,Bacillota,NA,soil,Earth,Clostridium,4118779,0.0121099
GCF_038298665.1_ASM3829866v1,NZ_CP151292.1,chromosome,1821423,4855302,0.375141031,0.375141031,1,1733568,87855,1,4855302,Shigella sonnei,-,Pseudomonadota,Gammaproteobacteria,Homo sapiens,stool sample,Humans,Shigella,4855302,1
GCF_038298665.1_ASM3829866v1,NZ_CP151293.1,plasmid,73453,213046,0.344775307,0.375141031,0.998260659,66214,7239,0.919055176,212675.4404,Shigella sonnei,-,Pseudomonadota,Gammaproteobacteria,Homo sapiens,stool sample,Humans,Shigella,4855302,0.043879042
GCF_038298665.1_ASM3829866v1,NZ_CP151296.1,plasmid,44902,108737,0.412941317,0.375141031,1.125742177,44289,613,1.100762867,122409.8271,Shigella sonnei,-,Pseudomonadota,Gammaproteobacteria,Homo sapiens,stool sample,Humans,Shigella,4855302,0.022395517
GCF_038298665.1_ASM3829866v1,NZ_CP151294.1,plasmid,12703,5120,2.481054688,0.375141031,6.586311183,12701,2,6.613658544,33721.91326,Shigella sonnei,-,Pseudomonadota,Gammaproteobacteria,Homo sapiens,stool sample,Humans,Shigella,4855302,0.001054517
GCF_038298665.1_ASM3829866v1,NZ_CP151297.1,plasmid,49712,3171,15.67707348,0.375141031,41.61701267,49712,0,41.78981281,131967.5472,Shigella sonnei,-,Pseudomonadota,Gammaproteobacteria,Homo sapiens,stool sample,Humans,Shigella,4855302,0.0006531
GCF_038298665.1_ASM3829866v1,NZ_CP151295.1,plasmid,29644,2092,14.17017208,0.375141031,37.61672942,29644,0,37.77291978,78694.19795,Shigella sonnei,-,Pseudomonadota,Gammaproteobacteria,Homo sapiens,stool sample,Humans,Shigella,4855302,0.000430869
GCF_021919345.1_ASM2191934v1,NZ_CP089293.1,chromosome,77298520,4316184,17.90899554,17.90899554,1,77298426,94,1,4316184,Paenarthrobacter nicotinovorans,ATCC 49919,Terrabacteria group,Actinomycetota,NA,NA,Unannotated,Paenarthrobacter,4316184,1
GCF_021919345.1_ASM2191934v1,NZ_CP089294.1,plasmid,5253214,165141,31.81047711,17.90899554,1.776229409,5253083,131,1.776228993,293328.3008,Paenarthrobacter nicotinovorans,ATCC 49919,Terrabacteria group,Actinomycetota,NA,NA,Unannotated,Paenarthrobacter,4316184,0.03826088
GCF_009834225.1_ASM983422v1,NZ_CP047176.1,chromosome,10087058,3938869,2.560902127,2.560902127,1,10085999,1059,1,3938869,Rathayibacter sp. VKM Ac-2759,VKM Ac-2759,Terrabacteria group,Actinomycetota,Tanacetum vulgare,plant,Plants,Rathayibacter,3938869,1
GCF_009834225.1_ASM983422v1,NZ_CP047177.1,plasmid,109040,150009,0.72688972,2.560902127,0.284392921,108013,1027,0.283841273,42661.49774,Rathayibacter sp. VKM Ac-2759,VKM Ac-2759,Terrabacteria group,Actinomycetota,Tanacetum vulgare,plant,Plants,Rathayibacter,3938869,0.038084283
GCF_009834225.1_ASM983422v1,NZ_CP047178.1,plasmid,67284,50370,1.335795116,2.560902127,0.5215813,67207,77,0.521611155,26272.05006,Rathayibacter sp. VKM Ac-2759,VKM Ac-2759,Terrabacteria group,Actinomycetota,Tanacetum vulgare,plant,Plants,Rathayibacter,3938869,0.012787935
GCF_009834225.1_ASM983422v1,NZ_CP047179.1,plasmid,75990,23389,3.248963188,2.560902127,1.268582154,75990,0,1.268679171,29670.86799,Rathayibacter sp. VKM Ac-2759,VKM Ac-2759,Terrabacteria group,Actinomycetota,Tanacetum vulgare,plant,Plants,Rathayibacter,3938869,0.005937999
GCF_001718975.1_ASM171897v1,NZ_CP013463.1,chromosome,4022456,3531036,1.13917162,1.13917162,1,4005576,16880,1,3531036,Burkholderia ubonensis,MSMB1471WGS,Pseudomonadota,Betaproteobacteria,NA,soil,Earth,Burkholderia,3531036,1
GCF_001718975.1_ASM171897v1,NZ_CP013464.1,chromosome,3545488,3094056,1.145902983,1.13917162,1.005734062,3537495,7993,1.005908998,3111797.51,Burkholderia ubonensis,MSMB1471WGS,Pseudomonadota,Betaproteobacteria,NA,soil,Earth,Burkholderia,3531036,0.876245952
GCF_001718975.1_ASM171897v1,NZ_CP013465.1,chromosome,941772,824232,1.14260548,1.13917162,1.005673026,935722,6050,1.003014348,828907.8892,Burkholderia ubonensis,MSMB1471WGS,Pseudomonadota,Betaproteobacteria,NA,soil,Earth,Burkholderia,3531036,0.233424978
GCF_001718975.1_ASM171897v1,NZ_CP013462.1,plasmid,102583,14087,7.282104068,1.13917162,6.380579027,102583,0,6.392455659,89883.21675,Burkholderia ubonensis,MSMB1471WGS,Pseudomonadota,Betaproteobacteria,NA,soil,Earth,Burkholderia,3531036,0.003989481
GCF_906464865.1_WE0438,NZ_OD940420.1,chromosome,1880025,2969567,0.633097351,0.633097351,1,1877985,2040,1,2969567,Enterococcus faecalis,WE0438,Terrabacteria group,Bacillota,Homo sapiens,Urine,Humans,Enterococcus,2969567,1
GCF_906464865.1_WE0438,NZ_OD940421.1,plasmid,35072,61284,0.572286404,0.633097351,0.919773169,33368,1704,0.903946927,56367.37887,Enterococcus faecalis,WE0438,Terrabacteria group,Bacillota,Homo sapiens,Urine,Humans,Enterococcus,2969567,0.020637352
GCF_903993215.2_AI3065v1_cp,NZ_OW970530.1,chromosome,2050972,5321412,0.385418757,0.385418757,1,2040851,10121,1,5321412,Klebsiella pneumoniae,147,Pseudomonadota,Gammaproteobacteria,Homo sapiens,Hospital Univeristario de Bellvitge (Barcelona),Humans,Klebsiella,5321412,1
GCF_903993215.2_AI3065v1_cp,NZ_OW970531.1,plasmid,140770,121074,1.162677371,0.385418757,3.057370318,136424,4346,3.016660058,370168.0538,Klebsiella pneumoniae,147,Pseudomonadota,Gammaproteobacteria,Homo sapiens,Hospital Univeristario de Bellvitge (Barcelona),Humans,Klebsiella,5321412,0.022752232
GCF_903993215.2_AI3065v1_cp,NZ_OW970532.1,plasmid,249244,63589,3.919608737,0.385418757,10.19650243,247449,1795,10.16974048,648385.3929,Klebsiella pneumoniae,147,Pseudomonadota,Gammaproteobacteria,Homo sapiens,Hospital Univeristario de Bellvitge (Barcelona),Humans,Klebsiella,5321412,0.011949648
GCF_903993215.2_AI3065v1_cp,NZ_OW970533.1,plasmid,75852,54404,1.394235718,0.385418757,3.61528381,75852,0,3.617456835,196685.9004,Klebsiella pneumoniae,147,Pseudomonadota,Gammaproteobacteria,Homo sapiens,Hospital Univeristario de Bellvitge (Barcelona),Humans,Klebsiella,5321412,0.010223602
GCF_903993215.2_AI3065v1_cp,NZ_OW970534.1,plasmid,102354,44051,2.323534085,0.385418757,6.366706999,90320,12034,6.028596278,280459.81,Klebsiella pneumoniae,147,Pseudomonadota,Gammaproteobacteria,Homo sapiens,Hospital Univeristario de Bellvitge (Barcelona),Humans,Klebsiella,5321412,0.008278066
GCF_903993215.2_AI3065v1_cp,NZ_OW970535.1,plasmid,44754,4715,9.491834571,0.385418757,24.61210316,44753,1,24.62732908,116046.0664,Klebsiella pneumoniae,147,Pseudomonadota,Gammaproteobacteria,Homo sapiens,Hospital Univeristario de Bellvitge (Barcelona),Humans,Klebsiella,5321412,0.000886043
GCF_903993215.2_AI3065v1_cp,NZ_OW970536.1,plasmid,69158,4167,16.59659227,0.385418757,43.03800234,69158,0,43.06119502,179339.3557,Klebsiella pneumoniae,147,Pseudomonadota,Gammaproteobacteria,Homo sapiens,Hospital Univeristario de Bellvitge (Barcelona),Humans,Klebsiella,5321412,0.000783063
GCF_903993215.2_AI3065v1_cp,NZ_OW970537.1,plasmid,15971,2674,5.972700075,0.385418757,15.48799715,15971,0,15.49665127,41414.90438,Klebsiella pneumoniae,147,Pseudomonadota,Gammaproteobacteria,Homo sapiens,Hospital Univeristario de Bellvitge (Barcelona),Humans,Klebsiella,5321412,0.000502498
GCF_022494685.1_ASM2249468v1,NZ_CP091665.1,chromosome,9546075,5218913,1.829130894,1.829130894,1,9538669,7406,1,5218913,Escherichia coli,KOr019,Pseudomonadota,Gammaproteobacteria,NA,river water,Water,Escherichia,5218913,1
GCF_022494685.1_ASM2249468v1,NZ_CP091666.1,plasmid,535292,158848,3.369837832,1.829130894,1.84930585,528721,6571,1.842316394,293758.5356,Escherichia coli,KOr019,Pseudomonadota,Gammaproteobacteria,NA,river water,Water,Escherichia,5218913,0.030436989
GCF_022494685.1_ASM2249468v1,NZ_CP091667.1,plasmid,261789,59054,4.433044332,1.829130894,2.423297279,261789,0,2.423579607,143105.3975,Escherichia coli,KOr019,Pseudomonadota,Gammaproteobacteria,NA,river water,Water,Escherichia,5218913,0.011315383
GCF_022494685.1_ASM2249468v1,NZ_CP091668.1,plasmid,37213,4677,7.956596109,1.829130894,4.381897373,35529,1684,4.349932602,20494.13402,Escherichia coli,KOr019,Pseudomonadota,Gammaproteobacteria,NA,river water,Water,Escherichia,5218913,0.000896164
GCF_022494685.1_ASM2249468v1,NZ_CP091669.1,plasmid,28311,4315,6.561066049,1.829130894,3.616029406,27027,1284,3.58698553,15603.16689,Escherichia coli,KOr019,Pseudomonadota,Gammaproteobacteria,NA,river water,Water,Escherichia,5218913,0.000826801
GCF_022494685.1_ASM2249468v1,NZ_CP091670.1,plasmid,31594,3133,10.08426428,1.829130894,5.51414446,31525,69,5.513145242,17275.81459,Escherichia coli,KOr019,Pseudomonadota,Gammaproteobacteria,NA,river water,Water,Escherichia,5218913,0.000600317
GCF_022494685.1_ASM2249468v1,NZ_CP091671.1,plasmid,28157,1546,18.21280724,1.829130894,9.955901028,28157,0,9.957082518,15391.82299,Escherichia coli,KOr019,Pseudomonadota,Gammaproteobacteria,NA,river water,Water,Escherichia,5218913,0.00029623
GCF_013267775.1_ASM1326777v1,NZ_CP053931.1,chromosome,19095594,5413450,3.527435185,3.527435185,1,19093974,1620,1,5413450,Bacillus cereus,FDAARGOS_797,Terrabacteria group,Bacillota,NA,NA,Unannotated,Bacillus,5413450,1
GCF_013267775.1_ASM1326777v1,NZ_CP053930.1,plasmid,752164,211003,3.564707611,3.527435185,1.012611484,747376,4788,1.010566438,213664.0609,Bacillus cereus,FDAARGOS_797,Terrabacteria group,Bacillota,NA,NA,Unannotated,Bacillus,5413450,0.038977547
GCF_008931385.1_ASM893138v1,NZ_CP042493.1,chromosome,2045681,5018104,0.407660144,0.407660144,1,2044893,788,1,5018104,Leclercia adecarboxylata,E61,Pseudomonadota,Gammaproteobacteria,NA,Shower 2,Human-impacted,Leclercia,5018104,1
GCF_008931385.1_ASM893138v1,NZ_CP042494.1,plasmid,257446,357530,0.720068246,0.407660144,1.780575107,248768,8678,1.766344482,636609.0181,Leclercia adecarboxylata,E61,Pseudomonadota,Gammaproteobacteria,NA,Shower 2,Human-impacted,Leclercia,5018104,0.071248025
GCF_008931385.1_ASM893138v1,NZ_CP042495.1,plasmid,192069,178161,1.078064223,0.407660144,2.699515917,181367,10702,2.644517102,480948.4554,Leclercia adecarboxylata,E61,Pseudomonadota,Gammaproteobacteria,NA,Shower 2,Human-impacted,Leclercia,5018104,0.035503648
GCF_008931385.1_ASM893138v1,NZ_CP042496.1,plasmid,81594,128715,0.633912131,0.407660144,1.565175732,79931,1663,1.55500149,201461.5943,Leclercia adecarboxylata,E61,Pseudomonadota,Gammaproteobacteria,NA,Shower 2,Human-impacted,Leclercia,5018104,0.025650126
