AnnotationAccession,SeqID,SeqType,SeqLength,CDS_count,CDS_length,transposase_count, transposase_length
GCF_001880185.2_ASM188018v2,NZ_CP013162.2,plasmid,4130,5,3240,0,0
GCF_001880185.2_ASM188018v2,NZ_CP013167.2,plasmid,3350,3,2364,0,0
GCF_001880185.2_ASM188018v2,NZ_CP013168.2,plasmid,2942,3,1437,0,0
GCF_001880185.2_ASM188018v2,NZ_CP013170.2,plasmid,2273,3,1287,0,0
GCF_001880185.2_ASM188018v2,NZ_CP013151.1,plasmid,55699,46,38508,7,6525
GCF_001880185.2_ASM188018v2,NZ_CP013153.2,plasmid,47476,35,36603,6,5163
GCF_001880185.2_ASM188018v2,NZ_CP013152.2,plasmid,45064,37,29478,4,2445
GCF_001880185.2_ASM188018v2,NZ_CP013155.2,plasmid,37426,36,29220,4,4092
GCF_001880185.2_ASM188018v2,NZ_CP013156.2,plasmid,30526,29,25170,5,4362
GCF_001880185.2_ASM188018v2,NZ_CP013154.2,plasmid,23493,24,15885,2,1095
GCF_001880185.2_ASM188018v2,NZ_CP013158.2,plasmid,10848,14,6537,1,831
GCF_001880185.2_ASM188018v2,NZ_CP013160.2,plasmid,8511,10,6771,0,0
GCF_004135915.1_ASM413591v1,NZ_CP035516.1,chromosome,5061272,4670,4374000,68,55425
GCF_004135915.1_ASM413591v1,NZ_CP035517.1,plasmid,149317,149,114180,17,13260
GCF_004135915.1_ASM413591v1,NZ_CP035518.1,plasmid,69473,88,58482,0,0
GCF_004135915.1_ASM413591v1,NZ_CP035519.1,plasmid,5209,9,2586,0,0
GCF_004135915.1_ASM413591v1,NZ_CP035520.1,plasmid,8166,4,3372,0,0
GCF_004135915.1_ASM413591v1,NZ_CP035521.1,plasmid,5632,5,3009,0,0
GCF_004135915.1_ASM413591v1,NZ_CP035522.1,plasmid,1506,2,1101,0,0
GCF_000512165.1_ASM51216v1,NZ_CP003999.1,chromosome,5307003,4906,4620657,46,43179
GCF_000512165.1_ASM51216v1,NZ_CP003996.1,plasmid,2459,3,1683,0,0
GCF_000512165.1_ASM51216v1,NZ_CP003994.1,plasmid,3223,4,1359,0,0
GCF_000512165.1_ASM51216v1,NZ_CP003995.1,plasmid,5065,8,2337,0,0
GCF_000512165.1_ASM51216v1,NZ_CP003997.1,plasmid,45574,59,35157,0,0
GCF_000512165.1_ASM51216v1,NZ_CP003998.1,plasmid,81071,104,71196,4,6072
GCF_000512165.1_ASM51216v1,NZ_CP004000.1,plasmid,295493,299,230682,30,30750
GCF_030442105.2_ASM3044210v2,NZ_CP132964.1,chromosome,5274312,4912,4611120,23,20184
GCF_030442105.2_ASM3044210v2,NZ_CP132965.1,plasmid,191559,158,142734,12,14166
GCF_018336535.1_ASM1833653v1,NZ_CP047924.1,chromosome,2799441,2642,2333328,15,13593
GCF_018336535.1_ASM1833653v1,NZ_CP047925.1,plasmid,39227,42,29823,3,6564
GCF_013372325.1_ASM1337232v1,NZ_CP054219.1,chromosome,5010549,4613,4342761,64,54609
GCF_013372325.1_ASM1337232v1,NZ_CP054220.1,plasmid,128954,127,97323,13,10104
GCF_013372325.1_ASM1337232v1,NZ_CP054221.1,plasmid,86740,100,73788,1,939
GCF_013372325.1_ASM1337232v1,NZ_CP054222.1,plasmid,5167,5,2985,0,0
GCF_013372325.1_ASM1337232v1,NZ_CP054223.1,plasmid,1506,1,441,0,0
GCF_022532145.1_ASM2253214v1,NZ_CP092825.1,chromosome,2788282,2589,2266704,31,28167
GCF_022532145.1_ASM2253214v1,NZ_CP092826.1,plasmid,25884,23,16788,2,1350
GCF_000967305.2_ASM96730v2,NZ_CP013119.1,chromosome,4233756,3771,3761850,5,4236
GCF_000967305.2_ASM96730v2,NZ_CP013143.1,plasmid,14928,12,10938,3,4743
GCF_016903815.1_ASM1690381v1,NZ_CP069973.1,chromosome,5144509,4720,4448121,71,55809
GCF_016903815.1_ASM1690381v1,NZ_CP069970.1,plasmid,39407,33,31267,2,1830
GCF_016903815.1_ASM1690381v1,NZ_CP069971.1,plasmid,48644,69,41601,0,0
GCF_016903815.1_ASM1690381v1,NZ_CP069972.1,plasmid,83090,90,70156,1,927
GCF_016903815.1_ASM1690381v1,NZ_CP069974.1,plasmid,136429,127,90099,16,14340
GCF_016903815.1_ASM1690381v1,NZ_CP069975.1,plasmid,41445,39,33192,0,0
GCF_016903815.1_ASM1690381v1,NZ_CP069976.1,plasmid,1631,1,210,0,0
GCF_016903815.1_ASM1690381v1,NZ_CP069977.1,plasmid,1572,2,765,0,0
GCF_003952785.1_ASM395278v1,NZ_CP022298.1,chromosome,3610322,3270,3002085,146,139908
GCF_003952785.1_ASM395278v1,NZ_CP022299.1,plasmid,94476,80,67443,11,11802
GCF_003952785.1_ASM395278v1,NZ_CP022300.1,plasmid,22605,23,14169,0,0
GCF_003952785.1_ASM395278v1,NZ_CP022301.1,plasmid,6970,9,4419,0,0
GCF_003952785.1_ASM395278v1,NZ_CP022302.1,plasmid,1859,2,1434,0,0
GCF_004798785.1_ASM479878v1,NZ_CP039270.1,chromosome,4905224,4533,4232187,27,24786
GCF_004798785.1_ASM479878v1,NZ_CP039271.1,plasmid,324175,323,254460,15,16224
GCF_004798785.1_ASM479878v1,NZ_CP039272.1,plasmid,29873,39,26505,0,0
GCF_004798785.1_ASM479878v1,NZ_CP039273.1,plasmid,6237,8,3642,0,0
GCF_004798785.1_ASM479878v1,NZ_CP039274.1,plasmid,4096,7,1911,0,0
GCF_004798785.1_ASM479878v1,NZ_CP039275.1,plasmid,3270,3,1569,0,0
GCF_004798785.1_ASM479878v1,NZ_CP039276.1,plasmid,2318,4,996,0,0
GCF_000383005.1_ASM38300v1,NC_020568.1,chromosome,2759328,2566,2280186,16,14802
GCF_000383005.1_ASM38300v1,NC_020539.1,plasmid,23758,24,15600,2,1350
GCF_013426895.1_ASM1342689v1,NZ_AP023174.1,chromosome,3759946,3260,3180312,27,24144
GCF_013426895.1_ASM1342689v1,NZ_AP023175.1,chromosome,2703868,2389,2289651,12,13716
GCF_013426895.1_ASM1342689v1,NZ_AP023176.1,plasmid,2342401,2066,2033562,7,6615
GCF_013426895.1_ASM1342689v1,NZ_AP023177.1,plasmid,606703,567,446043,19,17496
GCF_013426895.1_ASM1342689v1,NZ_AP023178.1,plasmid,58022,72,48078,0,0
GCF_905219285.2_AI2715v1_cp,NZ_OW848980.1,chromosome,4879412,4428,4145346,64,59919
GCF_905219285.2_AI2715v1_cp,NZ_OW848981.1,plasmid,125197,117,88860,10,9675
GCF_905219285.2_AI2715v1_cp,NZ_OW848982.1,plasmid,97252,107,77949,3,2325
GCF_905219285.2_AI2715v1_cp,NZ_OW848983.1,plasmid,39780,42,27825,5,7524
GCF_905219285.2_AI2715v1_cp,NZ_OW848984.1,plasmid,5252,6,2253,0,0
GCF_905219285.2_AI2715v1_cp,NZ_OW848985.1,plasmid,2317,3,888,0,0
GCF_009709315.1_ASM970931v1,NZ_CP039181.1,chromosome,3052649,2990,2532432,459,314904
GCF_009709315.1_ASM970931v1,NZ_CP039182.1,plasmid,120784,140,87699,57,41535
GCF_009709315.1_ASM970931v1,NZ_CP039183.1,plasmid,82130,85,71844,2,1857
GCF_009709315.1_ASM970931v1,NZ_CP039184.1,plasmid,39335,45,31317,9,8388
GCF_009709315.1_ASM970931v1,NZ_CP039185.1,plasmid,32166,45,25296,12,10986
GCF_000025425.1_ASM2542v1,NC_017279.1,chromosome,1635045,1608,1510560,6,4620
GCF_000025425.1_ASM2542v1,NC_017284.1,plasmid,37174,49,31029,0,0
GCF_019930545.1_ASM1993054v1,NZ_CP082837.1,chromosome,3326898,3068,2750292,72,79377
GCF_019930545.1_ASM1993054v1,NZ_CP082838.1,plasmid,17307,20,13275,0,0
GCF_946415285.1_SJC1050,NZ_OX291796.1,chromosome,5433114,5027,4723371,51,50508
GCF_946415285.1_SJC1050,NZ_OX291797.1,plasmid,12879,16,9534,0,0
GCF_946415285.1_SJC1050,NZ_OX291798.1,plasmid,3696,5,1614,0,0
GCF_946415285.1_SJC1050,NZ_OX291799.1,plasmid,3223,4,1359,0,0
GCF_009363135.1_ASM936313v1,NZ_CP045300.1,chromosome,5096793,4682,4374933,16,13635
GCF_009363135.1_ASM936313v1,NZ_CP045299.1,plasmid,79613,63,52212,1,1113
GCF_002078895.2_ASM207889v2,NZ_CP015899.2,chromosome,2397052,2266,1935135,184,183627
GCF_002078895.2_ASM207889v2,NZ_CP016746.2,plasmid,182608,171,161382,10,7944
GCF_002078895.2_ASM207889v2,NZ_CP016747.2,plasmid,51762,46,39525,7,4977
GCF_002078895.2_ASM207889v2,NZ_CP016748.2,plasmid,48282,50,30927,10,8712
GCF_002078895.2_ASM207889v2,NZ_CP016749.2,plasmid,30148,26,24270,6,5340
GCF_002078895.2_ASM207889v2,NZ_CP121224.1,plasmid,23198,21,16896,3,2298
GCF_002078895.2_ASM207889v2,NZ_CP016750.2,plasmid,15360,11,13017,0,0
GCF_002078895.2_ASM207889v2,NZ_CP016751.2,plasmid,10866,13,7593,0,0
GCF_002078895.2_ASM207889v2,NZ_CP016752.2,plasmid,5327,5,3471,0,0
GCF_002078895.2_ASM207889v2,NZ_CP121225.1,plasmid,4241,2,3450,0,0
GCF_013267275.1_ASM1326727v1,NZ_CP053954.1,chromosome,5381410,5218,4455942,18,20988
GCF_013267275.1_ASM1326727v1,NZ_CP053952.1,plasmid,480092,324,346140,5,5673
GCF_013267275.1_ASM1326727v1,NZ_CP053953.1,plasmid,328123,284,204102,17,16407
GCF_003590145.2_ASM359014v2,NZ_CP060436.1,chromosome,3732046,3425,3278886,10,13320
GCF_003590145.2_ASM359014v2,NZ_CP060439.1,plasmid,49258,32,42909,0,0
GCF_003590145.2_ASM359014v2,NZ_CP060438.1,plasmid,111009,111,103995,0,0
GCF_003590145.2_ASM359014v2,NZ_CP060437.1,plasmid,202410,179,185856,0,0
GCF_029748815.1_ASM2974881v1,NZ_CP121583.1,chromosome,3948484,3603,3397320,45,48201
GCF_029748815.1_ASM2974881v1,NZ_CP121584.1,plasmid,17460,20,10062,0,0
GCF_029748815.1_ASM2974881v1,NZ_CP121585.1,plasmid,2052,0,0,0,0
GCF_018884525.1_ASM1888452v1,NZ_CP035874.1,chromosome,4829955,4351,4097214,105,87522
GCF_018884525.1_ASM1888452v1,NZ_CP035875.1,plasmid,151583,140,99948,29,25293
GCF_018884525.1_ASM1888452v1,NZ_CP035878.1,plasmid,62180,62,44427,9,8517
GCF_018884525.1_ASM1888452v1,NZ_CP035877.1,plasmid,83694,91,70944,4,4044
GCF_018884525.1_ASM1888452v1,NZ_CP035876.1,plasmid,96149,115,80031,0,0
GCF_014490785.1_ASM1449078v1,NZ_CP051488.1,chromosome,5037617,4631,4305993,14,8940
GCF_014490785.1_ASM1449078v1,NZ_CP051489.1,plasmid,157340,143,116796,4,3426
GCF_009755785.1_ASM975578v1,NZ_CP046624.1,chromosome,1864202,1742,1622505,4,3033
GCF_009755785.1_ASM975578v1,NZ_CP046625.1,plasmid,41625,38,37365,1,1353
GCF_009834185.1_ASM983418v1,NZ_CP047173.1,chromosome,4294749,3873,3801774,6,4674
GCF_009834185.1_ASM983418v1,NZ_CP047174.1,plasmid,190450,172,165063,0,0
GCF_009834185.1_ASM983418v1,NZ_CP047175.1,plasmid,127215,121,106746,0,0
GCF_019329685.1_ASM1932968v1,NZ_CP073859.1,chromosome,2712678,2507,2209200,41,40434
GCF_019329685.1_ASM1932968v1,NZ_CP073860.1,plasmid,13570,15,10428,0,0
GCF_001750685.1_ASM175068v1,NZ_CP017269.1,chromosome,5792634,5328,4942542,52,41001
GCF_001750685.1_ASM175068v1,NZ_CP017270.1,plasmid,24587,19,16893,0,0
GCF_017068275.1_ASM1706827v1,NZ_CP070856.1,chromosome,2369089,2237,1985511,5,4176
GCF_017068275.1_ASM1706827v1,NZ_CP070857.1,plasmid,86467,74,62862,7,5217
GCF_024585685.1_ASM2458568v1,NZ_CP073984.1,chromosome,4779067,4432,4118901,59,50031
GCF_024585685.1_ASM2458568v1,NZ_CP073985.1,plasmid,247187,241,198612,11,13386
GCF_024585685.1_ASM2458568v1,NZ_CP073986.1,plasmid,108307,82,78777,14,11946
GCF_024585685.1_ASM2458568v1,NZ_CP073987.1,plasmid,2442,3,1683,0,0
GCF_905330215.2_AI2852v1_cpp,NZ_OW967975.1,chromosome,4869560,4424,4163931,80,74145
GCF_905330215.2_AI2852v1_cpp,NZ_OW967976.1,plasmid,106879,83,71529,11,11199
GCF_905330215.2_AI2852v1_cpp,NZ_OW967977.1,plasmid,103714,110,85884,5,6849
GCF_905330215.2_AI2852v1_cpp,NZ_OW967978.1,plasmid,63589,81,55278,4,3813
GCF_905330215.2_AI2852v1_cpp,NZ_OW967979.1,plasmid,35225,47,29022,0,0
GCF_905330215.2_AI2852v1_cpp,NZ_OW967980.1,plasmid,12602,12,6654,2,1929
GCF_905330215.2_AI2852v1_cpp,NZ_OW967981.1,plasmid,7098,7,5709,0,0
GCF_905330215.2_AI2852v1_cpp,NZ_OW967982.1,plasmid,4073,3,3105,0,0
GCF_004142705.1_ASM414270v2,NZ_CP041213.1,chromosome,3034018,2944,2699316,6,3267
GCF_004142705.1_ASM414270v2,NZ_CP041214.1,plasmid,57553,58,47085,9,9276
GCF_002204915.1_ASM220491v1,NZ_CP016321.1,chromosome,3224939,2880,2767524,24,24342
GCF_002204915.1_ASM220491v1,NZ_CP016322.1,chromosome,1852101,1504,1599240,4,3684
GCF_002204915.1_ASM220491v1,NZ_CP016323.1,plasmid,40850,51,16809,3,2907
GCF_002763655.1_ASM276365v1,NZ_CP024712.1,chromosome,6556999,5520,5453415,202,214098
GCF_002763655.1_ASM276365v1,NZ_CP024713.1,plasmid,68316,69,54996,1,1131
GCF_002763655.1_ASM276365v1,NZ_CP024714.1,plasmid,68156,62,55791,1,1581
GCF_001890385.1_ASM189038v1,NZ_CP018221.1,chromosome,3381342,3430,3030387,95,87024
GCF_001890385.1_ASM189038v1,NZ_CP018222.1,plasmid,99370,110,86886,3,6939
GCF_001890385.1_ASM189038v1,NZ_CP018223.1,plasmid,61559,73,46893,8,7206
GCF_001890385.1_ASM189038v1,NZ_CP018224.1,plasmid,63065,68,55632,5,6849
GCF_001890385.1_ASM189038v1,NZ_CP018225.1,plasmid,182640,188,153735,4,5706
GCF_033170525.1_ASM3317052v1,NZ_CP137228.1,chromosome,4255535,3844,3574641,57,51051
GCF_033170525.1_ASM3317052v1,NZ_CP137229.1,plasmid,52937,64,43641,3,2985
GCF_033170525.1_ASM3317052v1,NZ_CP137230.1,plasmid,252119,302,205413,8,9762
GCF_028463965.1_ASM2846396v1,NZ_CP116749.1,chromosome,3113397,2841,2515500,51,43035
GCF_028463965.1_ASM2846396v1,NZ_CP116750.1,plasmid,66865,72,49263,0,0
GCF_028463965.1_ASM2846396v1,NZ_CP116751.1,plasmid,43742,39,29844,8,6933
GCF_028463965.1_ASM2846396v1,NZ_CP116752.1,plasmid,25131,27,17679,0,0
GCF_028463965.1_ASM2846396v1,NZ_CP116753.1,plasmid,16984,19,12714,2,1620
GCF_028463965.1_ASM2846396v1,NZ_CP116754.1,plasmid,8184,10,4563,2,1731
GCF_012224765.1_ASM1222476v1,NZ_CP048761.1,chromosome,1665977,1649,1507911,6,6093
GCF_012224765.1_ASM1222476v1,NZ_CP048762.1,plasmid,48003,48,39675,1,681
GCF_002000785.1_ASM200078v1,NZ_CP014432.1,chromosome,2915434,2791,2406750,12,6813
GCF_002000785.1_ASM200078v1,NZ_CP014433.1,plasmid,3125,3,1767,0,0
GCF_002000785.1_ASM200078v1,NZ_CP014434.1,plasmid,27079,27,17487,3,2025
GCF_023573665.1_ASM2357366v1,NZ_CP097658.1,chromosome,5381881,5021,4582965,47,44496
GCF_023573665.1_ASM2357366v1,NZ_CP097659.1,plasmid,128678,154,86826,13,12573
GCF_019974375.1_ASM1997437v1,NZ_AP024933.1,chromosome,1980678,2074,1861083,97,78369
GCF_019974375.1_ASM1997437v1,NZ_AP024934.1,plasmid,213325,226,188163,9,11460
GCF_019974375.1_ASM1997437v1,NZ_AP024935.1,plasmid,143809,151,124425,7,7917
GCF_019974375.1_ASM1997437v1,NZ_AP024936.1,plasmid,14256,16,10272,1,1101
GCF_001488575.1_Halobacterium_hubeiense_JI20-1,NZ_LN831302.1,chromosome,2510607,2672,2251677,9,10782
GCF_001488575.1_Halobacterium_hubeiense_JI20-1,NZ_LN831303.1,plasmid,349522,317,267321,9,9165
GCF_001488575.1_Halobacterium_hubeiense_JI20-1,NZ_LN831304.1,plasmid,157757,166,132888,10,12870
GCF_001488575.1_Halobacterium_hubeiense_JI20-1,NZ_LN831305.1,plasmid,112459,114,87039,2,1713
GCF_030544975.1_ASM3054497v1,NZ_CP092272.1,chromosome,5533254,5264,4845489,45,45018
GCF_030544975.1_ASM3054497v1,NZ_CP092273.1,plasmid,236626,205,177927,10,9057
GCF_030544975.1_ASM3054497v1,NZ_CP092274.1,plasmid,166543,194,119877,19,18435
GCF_030544975.1_ASM3054497v1,NZ_CP092275.1,plasmid,32126,39,22707,4,3852
GCF_030544975.1_ASM3054497v1,NZ_CP092276.1,plasmid,11970,14,8997,0,0
GCF_030544975.1_ASM3054497v1,NZ_CP092277.1,plasmid,5596,11,3249,0,0
GCF_017088465.1_ASM1708846v1,NZ_CP070914.1,chromosome,4722363,4272,4034955,44,43734
GCF_017088465.1_ASM1708846v1,NZ_CP070915.1,plasmid,217265,207,172700,17,15666
GCF_017088465.1_ASM1708846v1,NZ_CP070916.1,plasmid,106065,78,70707,21,22047
GCF_017088465.1_ASM1708846v1,NZ_CP070917.1,plasmid,4710,5,2136,1,690
GCF_017088465.1_ASM1708846v1,NZ_CP070918.1,plasmid,3373,4,1311,0,0
GCF_017088465.1_ASM1708846v1,NZ_CP070919.1,plasmid,1551,2,699,0,0
GCF_005144925.1_ASM514492v1,NZ_CP039713.1,chromosome,4815118,4445,4154328,21,13542
GCF_005144925.1_ASM514492v1,NZ_CP039714.1,plasmid,98012,103,82191,1,879
GCF_005144925.1_ASM514492v1,NZ_CP039715.1,plasmid,93838,106,75330,3,3645
GCF_008042015.2_ASM804201v2,NZ_CP042934.2,chromosome,4692707,4224,3966672,56,45666
GCF_008042015.2_ASM804201v2,NZ_CP042935.2,plasmid,51479,59,37833,4,4023
GCF_008042015.2_ASM804201v2,NZ_CP042936.2,plasmid,45674,45,29118,3,2301
GCF_004923395.1_ASM492339v1,NZ_CP039503.1,chromosome,4882218,4499,4209672,17,12636
GCF_004923395.1_ASM492339v1,NZ_CP039504.1,plasmid,1237,1,510,0,0
GCF_004923395.1_ASM492339v1,NZ_CP039505.1,plasmid,2733,3,1950,0,0
GCF_004923395.1_ASM492339v1,NZ_CP039506.1,plasmid,5900,8,4593,0,0
GCF_004923395.1_ASM492339v1,NZ_CP039507.1,plasmid,2495,3,606,0,0
GCF_004923395.1_ASM492339v1,NZ_CP039508.1,plasmid,2579,2,882,0,0
GCF_002208985.1_ASM220898v3,NZ_CP022073.1,chromosome,4925369,4534,4331571,11,7503
GCF_002208985.1_ASM220898v3,NZ_CP022075.1,plasmid,9293,11,6864,0,0
GCF_031036275.1_ASM3103627v1,NZ_CP065128.1,chromosome,4769694,4385,4115121,22,16779
GCF_031036275.1_ASM3103627v1,NZ_CP065130.1,plasmid,4593,6,2301,0,0
GCF_031036275.1_ASM3103627v1,NZ_CP065129.1,plasmid,101992,111,83064,3,3414
GCF_016904455.1_ASM1690445v1,NZ_CP070115.1,chromosome,5105031,4700,4425162,24,19365
GCF_016904455.1_ASM1690445v1,NZ_CP070116.1,plasmid,150643,132,108876,11,10146
GCF_016904455.1_ASM1690445v1,NZ_CP070117.1,plasmid,24413,35,19971,0,0
GCF_016904455.1_ASM1690445v1,NZ_CP070118.1,plasmid,69978,86,57723,0,0
GCF_016904455.1_ASM1690445v1,NZ_CP070119.1,plasmid,3319,5,2055,0,0
GCF_016904455.1_ASM1690445v1,NZ_CP070120.1,plasmid,4072,3,3108,0,0
GCF_016904455.1_ASM1690445v1,NZ_CP070121.1,plasmid,5163,6,3399,0,0
GCF_016904455.1_ASM1690445v1,NZ_CP070122.1,plasmid,1329,1,852,0,0
GCF_016904455.1_ASM1690445v1,NZ_CP070123.1,plasmid,1206,2,717,0,0
GCF_001702455.1_ASM170245v1,NZ_CP016762.1,chromosome,5134500,4835,4478943,36,35061
GCF_001702455.1_ASM170245v1,NZ_CP016763.1,plasmid,127005,120,104877,14,15870
GCF_001702455.1_ASM170245v1,NZ_CP016764.1,plasmid,277592,259,218316,17,18375
GCF_001702455.1_ASM170245v1,NZ_CP016765.1,plasmid,18467,20,14832,1,3006
GCF_000724485.1_ASM72448v1,NZ_CP007739.1,chromosome,3337035,3135,2680830,15,8733
GCF_000724485.1_ASM72448v1,NZ_CP007741.1,plasmid,19174,15,12411,1,363
GCF_000724485.1_ASM72448v1,NZ_CP007740.1,plasmid,68999,68,46443,1,2142
GCF_007923185.1_ASM792318v1,NZ_CP039378.1,chromosome,1842476,1778,1598502,12,8169
GCF_007923185.1_ASM792318v1,NZ_CP039379.1,plasmid,76699,52,64806,7,4074
GCF_024799865.1_ASM2479986v1,NZ_CP103377.1,chromosome,6246405,4441,5026209,73,67983
GCF_024799865.1_ASM2479986v1,NZ_CP103378.1,plasmid,5589,6,2703,0,0
GCF_024799865.1_ASM2479986v1,NZ_CP103379.1,plasmid,31988,36,25611,1,1023
GCF_024799865.1_ASM2479986v1,NZ_CP103380.1,plasmid,4162,7,3231,0,0
GCF_004328685.1_ASM432868v1,NZ_CP035312.1,chromosome,4593539,4180,3942894,76,59718
GCF_004328685.1_ASM432868v1,NZ_CP035314.1,plasmid,89963,99,68436,4,3315
GCF_004328685.1_ASM432868v1,NZ_CP035316.1,plasmid,30581,31,24786,0,0
GCF_004328685.1_ASM432868v1,NZ_CP035315.1,plasmid,40654,49,33279,7,6240
GCF_004328685.1_ASM432868v1,NZ_CP035313.1,plasmid,96320,98,84024,1,975
GCF_030718935.1_ASM3071893v1,NZ_CP132194.1,chromosome,3177391,2611,2659137,24,20421
GCF_030718935.1_ASM3071893v1,NZ_CP132195.1,plasmid,29784,30,22959,0,0
GCF_020809385.1_ASM2080938v1,NZ_CP045213.1,chromosome,5040503,4651,4320081,46,38259
GCF_020809385.1_ASM2080938v1,NZ_CP045215.1,plasmid,6744,6,5553,0,0
GCF_020809385.1_ASM2080938v1,NZ_CP045214.1,plasmid,169291,143,113598,6,3930
GCF_030271915.1_ASM3027191v1,NZ_CP110150.1,chromosome,5200907,4873,4560750,27,25158
GCF_030271915.1_ASM3027191v1,NZ_CP110151.1,plasmid,224600,190,164136,39,31683
GCF_030271915.1_ASM3027191v1,NZ_CP110152.1,plasmid,119650,113,86838,15,19932
GCF_906464875.1_BX8117,NZ_OD940437.1,chromosome,2909278,2694,2537796,14,12483
GCF_906464875.1_BX8117,NZ_OD940438.1,plasmid,68773,79,57969,1,1320
GCF_906464875.1_BX8117,NZ_OD940439.1,plasmid,41839,43,24450,5,3405
GCF_024347395.1_ASM2434739v1,NZ_AP025472.1,chromosome,3116092,2731,2627469,20,15441
GCF_024347395.1_ASM2434739v1,NZ_AP025473.1,chromosome,1374279,1086,1182075,3,2961
GCF_024347395.1_ASM2434739v1,NZ_AP025474.1,plasmid,94062,78,71400,0,0
GCF_024347395.1_ASM2434739v1,NZ_AP025475.1,plasmid,84136,110,55218,0,0
GCF_000022845.1_ASM2284v1,NC_014029.1,chromosome,4553586,3844,3682089,159,123444
GCF_000022845.1_ASM2284v1,NC_014017.1,plasmid,68342,67,46857,3,4590
GCF_000022845.1_ASM2284v1,NC_014022.1,plasmid,94251,94,79596,6,5439
GCF_000022845.1_ASM2284v1,NC_014027.1,plasmid,9609,10,5472,2,1806
GCF_024918455.1_ASM2491845v1,NZ_CP103687.1,chromosome,5365823,5013,4699593,31,31371
GCF_024918455.1_ASM2491845v1,NZ_CP103688.1,plasmid,183966,174,137487,12,10485
GCF_024918455.1_ASM2491845v1,NZ_CP103689.1,plasmid,70661,68,51447,5,7287
GCF_018283505.2_ASM1828350v2,NZ_CP084397.1,chromosome,5414231,5090,4746549,30,28140
GCF_018283505.2_ASM1828350v2,NZ_CP084394.1,plasmid,112868,112,95955,1,3018
GCF_018283505.2_ASM1828350v2,NZ_CP084396.1,plasmid,4167,5,2586,0,0
GCF_018283505.2_ASM1828350v2,NZ_CP084395.1,plasmid,374716,357,279894,33,35367
GCF_001693595.1_ASM169359v1,NZ_CP016273.1,chromosome,4602429,3827,3625410,192,151728
GCF_001693595.1_ASM169359v1,NZ_CP016274.1,plasmid,70304,67,46170,4,5223
GCF_001693595.1_ASM169359v1,NZ_CP016275.1,plasmid,96210,96,80991,8,7245
GCF_001693595.1_ASM169359v1,NZ_CP016276.1,plasmid,9612,10,5472,2,1806
GCF_033867515.1_ASM3386751v1,NZ_CP138773.1,chromosome,5200444,4849,4537653,30,27939
GCF_033867515.1_ASM3386751v1,NZ_CP138774.1,plasmid,193029,164,143724,27,25926
GCF_033867515.1_ASM3386751v1,NZ_CP138775.1,plasmid,73530,68,50079,12,10722
GCF_033867515.1_ASM3386751v1,NZ_CP138776.1,plasmid,7742,7,4641,0,0
GCF_033867515.1_ASM3386751v1,NZ_CP138777.1,plasmid,4822,8,2028,0,0
GCF_033867515.1_ASM3386751v1,NZ_CP138778.1,plasmid,2352,2,1479,0,0
GCF_002219265.1_ASM221926v1,NZ_CP015272.1,chromosome,6175731,5513,5422422,71,72231
GCF_002219265.1_ASM221926v1,NZ_CP015273.1,plasmid,97267,97,79470,2,1914
GCF_002219265.1_ASM221926v1,NZ_CP015274.1,plasmid,39889,32,32913,3,2529
GCF_002219265.1_ASM221926v1,NZ_CP015275.1,plasmid,32134,26,23019,1,3036
GCF_002219265.1_ASM221926v1,NZ_CP015276.1,plasmid,21123,20,15975,0,0
GCF_002219265.1_ASM221926v1,NZ_CP015277.1,plasmid,13458,15,9300,0,0
GCF_005457265.1_ASM545726v2,NZ_CP040701.1,chromosome,4994320,4601,4312887,55,51906
GCF_005457265.1_ASM545726v2,NZ_CP040702.1,plasmid,104768,84,85047,8,8382
GCF_021166175.1_ASM2116617v1,NZ_CP089012.1,chromosome,5140269,4804,4505742,33,30972
GCF_021166175.1_ASM2116617v1,NZ_CP089013.1,plasmid,208529,183,150426,18,20544
GCF_023734335.1_ASM2373433v1,NZ_CP017568.1,chromosome,1916322,1810,1642227,27,26679
GCF_023734335.1_ASM2373433v1,NZ_CP017569.1,plasmid,64141,60,48102,11,9591
GCF_030758795.1_ASM3075879v1,NZ_CP132372.1,chromosome,2754694,2577,2255406,12,10521
GCF_030758795.1_ASM3075879v1,NZ_CP132373.1,plasmid,28895,28,17697,2,1350
GCF_019891015.1_ASM1989101v1,NZ_CP082336.1,chromosome,2606218,2421,2171277,10,8760
GCF_019891015.1_ASM1989101v1,NZ_CP082337.1,plasmid,43042,47,29283,4,2700
GCF_030296215.1_ASM3029621v1,NZ_AP027424.1,chromosome,4698385,4302,4018143,87,74064
GCF_030296215.1_ASM3029621v1,NZ_AP027425.1,plasmid,133820,129,97542,16,14232
GCF_030296215.1_ASM3029621v1,NZ_AP027426.1,plasmid,93860,75,60522,11,8160
GCF_030296215.1_ASM3029621v1,NZ_AP027427.1,plasmid,50626,63,43140,1,705
GCF_022353965.1_ASM2235396v1,NZ_CP055030.1,chromosome,4707466,4256,4002378,103,82389
GCF_022353965.1_ASM2235396v1,NZ_CP055031.1,plasmid,26517,22,15381,6,6756
GCF_022353965.1_ASM2235396v1,NZ_CP055032.1,plasmid,13291,19,10485,0,0
GCF_000010385.1_ASM1038v1,NC_011415.1,chromosome,4887515,4537,4251474,31,29223
