accession,md5,n_families_ge2,has_identical_pair,n_jump_families,max_distinct_contexts,jump_families
NZ_CP078111.1,4e1af7d5681427dfb66ff9161f09f95c,1,0,0,0,
NZ_CP024129.1,4e1c909ae01fa83a0993129ae5513b70,4,1,1,2,IS3
NZ_CP117040.1,4e26a4c507307a9431e8a92e4cbc264e,1,0,0,0,
NZ_CP011357.1,4e2d3abefef213f01753970b428c296b,1,0,0,0,
NZ_CP018211.1,4e362721ee5420f9f261b29188276246,2,0,0,0,
NZ_CP023425.1,4e39f16bbf447823ffad08df7ff42eb8,4,0,0,0,
NZ_CP017588.1,4e3f80a51b7cd9c0bd786521a2e3b18f,3,0,0,0,
NZ_CP009595.1,4e430268a5879afb9d28d86e5f950cc6,2,0,0,0,
NZ_CP030065.1,4e46b48ad310be3de67e7bfcea337eda,3,0,0,0,
NZ_CP041009.1,4e4ac1d1fda42b0ffa81dd664660d9bf,1,0,0,0,
NZ_AP025206.2,4e5236bfdc51834d35c1577cc490577d,4,1,1,4,IS6
NZ_CP119578.1,4e5a2d398af00d8064411de9cef7d2d4,5,1,1,3,IS6
NZ_CP102874.1,4e5c3709ad5bf63c16b6393f52cd65cb,2,1,1,2,IS1
NZ_CP110550.1,4e5ff3b8e10fbb6f0dcdb8cd72a32ae1,4,0,0,0,
NZ_CP054355.1,4e654b84960016f878c356a2f38e7787,1,0,0,0,
NZ_CP049102.1,4e6a7487b4c3daa6d526c2d42a0b39e3,4,1,1,2,IS1
NZ_CP088230.1,4e6bd30b91a95b7f433aa478e41d2915,5,0,0,0,
NZ_CP132982.1,4e7425e8ab7087ca7cd4e69616ad18fd,5,1,2,7,IS6;new
NZ_CP018992.1,4e794ea5adea68de7b3023b7c6e862c1,1,0,0,0,
NZ_CP072859.1,4e7a33f523cebedb064e733611a68b71,4,1,1,2,IS1
NZ_CP110168.1,4e857b66d009e7242beb02f99046dab0,7,1,2,3,IS5;IS6
NZ_CP072885.1,4e8a99e52743ad9fd4cc697149a3355a,3,0,0,0,
NZ_CP088976.1,4e8b1041efb5599a318c2263208c526f,1,1,1,2,IS3
NZ_CP116524.1,4e8f20f8f00a0159ca1071e2db19adbb,6,1,2,2,IS256;IS6
NZ_CP024241.1,4e90be61dc61252fdb88732006305253,4,1,2,2,IS21;IS66
NZ_CP029453.1,4e9450c33292b5a2664dd6af48c2c75a,11,1,4,5,IS5;IS6;IS630;IS66
NZ_CP013725.1,4e9aede5b44ffb69151813e5a4d0c4e7,1,0,0,0,
NZ_CP050465.1,4e9d789c1527ab399895d010ce57528a,3,0,0,0,
NZ_CP138321.1,4ea17d104b7542e916772c4cee68b5b1,1,1,1,2,IS3
NZ_CP082004.1,4eabf4ac2ebac7aa5efb101835c4eaec,1,1,1,2,IS6
NZ_AP018800.1,4eae4bdad2ef41ff139c8f730bfca7e6,2,1,1,2,IS3
NZ_CP107364.1,4eb30280880f15c83eb53a1056d3ee37,2,1,1,9,IS6
NZ_LT222313.1,4eb32ef62b8f4a564450d02684857a3f,2,1,0,1,
NZ_CP018947.1,4eb3fe68a11b7b42e52b3fe31cb13070,4,1,1,2,IS6
NZ_CP070531.1,4eb7c43f8fd4c96c47938860ba820946,1,0,0,0,
NZ_CP138311.1,4eb8bb2b5685f7ff02df0b92d69d43f1,1,0,0,0,
NZ_CP094625.1,4ec07285d0294966448fd323d5f2929d,3,1,1,2,IS4
NZ_CP026305.1,4ec13d7006cbb14809983f98acbeac53,1,0,0,0,
NZ_CP035293.1,4ec2b3be51fbc84c7ef351bbb3900a0d,1,0,0,0,
NZ_CP086329.1,4ec40ceccba9ecc9830ed5697744a9fa,3,0,0,0,
NZ_CP014638.1,4ec739ef387fa26b88bc3a964504b8b7,1,0,0,0,
NZ_CP091653.1,4ed019984b77ffa65a2df9623ff24ae5,2,1,0,1,
NZ_CP071844.1,4ed01b97093b41e3210ca42ad450872e,1,1,0,1,
NZ_CP091126.1,4ed14918b240881a126cebfade0b8316,3,1,1,7,IS6
NZ_CP031786.1,4ed416b9d9c95b0fb04f4b0c7b9e56d4,3,0,0,0,
NZ_CP113174.1,4ed4e10476f0a364c8d6a459e6b3f46b,7,1,2,3,IS6;ISNCY
NZ_CP018068.1,4ed70b0a74025f29e61ab75abe15c375,1,1,1,2,IS200/IS605
NZ_CP010305.1,4edbc1f1a5257c449356a1f61e0686e5,1,0,0,0,
NZ_CP062770.1,4edc6b61563edc00a4e6cae9ffbad4f7,2,0,0,0,
NZ_CP070106.1,4ee39621206090e47cd9fd8aca949fb2,1,0,0,0,
NZ_CP007665.1,4ee6c980a0ab223537e4497c3952cc33,3,0,0,0,
NZ_LT703506.1,4eea7d8e34a08879e9e59265dc1e3384,1,0,0,0,
NZ_CP086112.1,4eeb9add379f2451da6da6735c8109f3,11,1,2,2,IS21;IS630
NZ_LR135354.1,4eebb1fe533bc8cf0107173cba07005f,1,0,0,0,
NZ_CP087626.1,4eed5f49188ec1cb7fc989e8e7d540ec,2,1,1,3,IS6
NZ_CP031004.1,4ef18b928ccd5efd2e4e3d2b0d0d231a,1,0,0,0,
NC_022883.1,4ef2eda8e284a3d115e3aa2d7fb32c11,1,0,0,0,
NC_017232.1,4ef3da913d3779205d68c33c6ffe4d7f,1,0,0,0,
NZ_CP141091.1,4ef42a98907847543becc3b36f64171d,4,1,1,2,IS982
NZ_CP032676.1,4ef4efc30998809a0e5642d6dc871d2b,6,0,0,0,
NZ_CP104621.1,4ef68cae851524e94a41cff0ecec5f1b,3,1,1,3,IS6
NZ_CP080259.1,4eff3f92b28e4e2c91059c2822ac735c,1,0,0,0,
NZ_OW970316.1,4f0c990b95ef7a90a25cf5e527d26d7a,3,1,2,2,IS3;IS30
NZ_CP066311.1,4f0e201d7760a2c46d0c587a3ba6d30f,7,1,1,2,IS630
NZ_CP021830.1,4f0e7a16b05955830024a3cd46cdf4fc,10,1,3,4,IS256;IS3;IS66
NZ_CP083394.1,4f1983efbc9858e75b2ca06b6466eff3,2,0,0,0,
NZ_CP140112.1,4f1c1f3fb3f5d2491ef7c8246c4836ac,6,1,1,2,IS6
NZ_CP048785.1,4f1ccde80326b92e13bec62c39b6621f,1,0,0,0,
NZ_CP050172.1,4f1fb67090bc7e81b05ad7e3a1270d73,3,0,0,0,
NZ_LS998784.1,4f28f6f5612bbac18e37567eaf1b7fd2,1,0,0,0,
NZ_CP018431.1,4f29ca0f10f3d67a2b8700d760624bc4,1,0,0,0,
NZ_CP139658.1,4f2aec7300efe302b5bc5f9f00752f13,8,1,2,3,IS5;IS6
NZ_CP098127.1,4f2e699028fd5dfdd6da3266708c48af,5,1,1,3,IS6
NZ_CP060989.1,4f2e9fb6412d41ce102910b0e379af41,1,1,1,3,IS6
NZ_CP074353.1,4f30aab7b389ec3215a1d333723c616f,1,1,1,2,IS6
NZ_CP119975.1,4f32083679a76e45619ec27688f456b5,1,1,1,2,IS91
NZ_CP080532.1,4f3308319767f15b776a51a6d8557006,2,0,0,0,
NZ_CP022612.1,4f395f82837f34f2b142ab8a8557b75e,9,1,1,3,IS6
NZ_CP022021.1,4f3ba76f6804f17007bdecb045b8ef54,3,1,1,2,IS6
NZ_CP090530.1,4f3c621ef9b6ec95b17c9fee260b7d08,3,1,1,4,IS6
NZ_CP058949.1,4f50001aae4893fc2e777d9550301985,3,1,1,2,IS6
NZ_CP017105.1,4f52ca33cc7279c7b063ef77ec36dbd0,7,0,0,0,
NZ_CP053950.1,4f52cb9cfd769a9b8c5e9b75f2a5faea,3,1,0,1,
NZ_CP069290.1,4f56dc19ec1b6b35c93473136686ec58,2,1,1,3,IS110
NZ_CP036001.1,4f5a43c53275188cb04102097ee890ae,2,0,0,0,
NC_014723.1,4f61c6e33a97dcba8c1a2f77e0251e60,5,0,0,0,
NZ_CP135499.1,4f62205d87eb0949a61d74eaaa15080f,3,1,2,4,IS1;IS6
NZ_CP045089.1,4f63452851f85d2d6a437aa0a3bb7672,6,0,0,0,
NZ_CP026527.1,4f64d9ee5d5f1fb7901eb41a55135075,4,1,2,2,IS630;IS66
NZ_CP132307.1,4f68946ceada5b312f3e65cf2af5cab8,1,0,0,0,
NZ_CP011136.1,4f6e30504e4d38a62aeac209747a00f7,4,1,2,2,IS3;IS6
NZ_CP071724.1,4f76b2c42694f2eaa112099009de883d,5,1,1,2,IS256
NZ_CP024836.1,4f7a1da946f5bd530b3643c62951ac4c,1,1,1,4,IS6
NZ_CP117334.1,4f7d7dd0e032ac2850f36b59bfc97cbd,4,1,1,2,IS6
NZ_CP142772.1,4f8605931b9317d02ab2ee2c6f5caf5f,2,0,0,0,
NZ_CP082964.1,4f876613c0d36c017759ebee573dc4be,5,0,0,0,
NZ_CP069903.1,4f877eb8da398094aaddf008c645cf29,5,1,1,2,IS6
NZ_CP026237.1,4f8e9da2d0c00a7a57781a7e5691ca4f,6,1,2,5,IS110;IS6
NZ_CP123222.1,4f9471e8573b1fb9e4ca01249c227973,5,0,0,0,
NZ_CP038382.1,4f94f06e09c6765210ae20a23cbdbc6e,1,0,0,0,
NZ_CP021082.1,4f9a138d2cd1704a567e372c9ee1a184,2,1,2,3,IS3;IS5
NZ_CP062870.1,4f9f54fbaba0e3d3dde9b5c30c841ece,3,1,1,2,IS1
NZ_CP021512.1,4fabc02ece1f316162c14fdf57b66a63,5,1,0,1,
NZ_CP043186.1,4faded1204d11cbe98ece47e6f3db3fd,1,0,0,0,
NZ_CP043290.1,4fb68fddb7a3b086bcd71f2aab192d0b,1,0,0,0,
NZ_CP039200.1,4fb8e3d08780feadb5504aaf97b648fd,1,0,0,0,
NZ_CP066360.1,4fbf16bde1f1aef90f00648268dc2f97,2,0,0,0,
NZ_CP048578.1,4fbf63bd6b11455bb0862518c95dc9d4,2,0,0,0,
NZ_CP014629.1,4fc7f15b75c3ca93fee125d6a6a36633,1,0,0,0,
NC_018889.1,4fd188888794ed1250d7a44ebe281031,2,0,0,0,
NZ_CP055297.1,4fd1a0399d1fdd40634766fde5bca1b0,1,1,1,4,IS6
NZ_CP023210.1,4fd3e1efb66d9ca3d44be3765d39aec6,2,1,2,3,IS5;IS66
NZ_CP038907.1,4fd75e4e0044095000b67f0002b934f7,2,1,1,2,IS30
NZ_CP058883.1,4fe4ae1b4fe8d4f6fefb6acc7f7b011f,2,1,1,2,IS6
NZ_CP137464.1,4feb6c505164985b2b0eaa7f0596aac3,2,1,1,3,IS6
NZ_CP025081.1,4ff07107d7493b09ccaa73cf087fed84,7,1,1,2,IS5
NZ_CP028232.1,4ff0ef259e5eda6c60d7cc89d520fb9b,1,0,0,0,
NZ_CP047375.1,4ffdfa822f86dfc6c818935e44a16961,3,1,1,3,IS5
NZ_CP058973.1,50001893b4d6415948e6081750c968d2,1,1,1,3,IS3
NZ_CP008987.1,500082e44db31eeb6f35309740e47cb4,1,0,0,0,
NZ_CP040834.1,50026eb98a02be6c67cdc0a282b50e90,6,1,2,5,IS6;ISNCY
NZ_CP030303.1,5006251d2f6a7a14dfb8b29c35604b18,5,0,0,0,
NZ_CP107292.1,50082aa6aca242611c256a8e63cb6247,5,1,1,2,IS5
NZ_CP085296.1,500c66b632dcc5105f7d740420a2c391,3,0,0,0,
NZ_CP040308.1,500e3a7dba7e3908b428302ef4847f4a,2,0,0,0,
NC_014005.1,5011db30954796e361122472b890bdf9,1,1,1,2,IS6
NZ_CP080480.1,501a563e283389661d246ae3c4d46bb9,2,0,0,0,
NZ_CP083449.1,5020c0f1c1d145cd1d270d0e1990db89,2,1,1,3,IS1
NZ_CP100690.1,5020d2b5289e63a538fca4ec2954e035,4,1,1,5,IS6
NZ_CP026938.2,5028923940a61886bc8e84e52cd4968f,1,0,0,0,
NZ_CP031947.1,50297132b971b98b32e7a532f039f585,1,0,0,0,
NZ_CP101520.1,502cc1f7c34625fef936c6e77868153a,4,0,0,0,
NZ_CP049350.1,5031732861a9b2380ba738fe174731ee,1,0,0,0,
NZ_CP080344.1,5036119e6a7b489ed19d9759d53c95ff,1,0,0,0,
NZ_CP028839.1,50380fda8eeefed0d5f07d74889dd861,1,0,0,0,
NZ_CP117347.1,50382e0a78dfbe41df5b485b17aaa299,2,1,1,5,IS6
NZ_CP079619.1,5039cc2b511c7c83ce48a4cf51e960b5,3,1,1,2,IS6
NC_021526.1,503a767be6a42abc43128a5edb487173,2,0,0,0,
NZ_CP042489.1,503e63fabdfc528519c9b699f3342244,6,1,3,9,IS1;IS6;IS91
NZ_CP033913.1,503f7a2179181fd27a3fff4d59889ead,1,0,0,0,
NZ_CP137541.1,504119856ff027848feccdfadbf6b82d,1,0,0,0,
NZ_CP015522.1,504202a0024c6d47bf969e0ef7f8cc7e,1,0,0,0,
NZ_CP023827.1,504330579d878f9b1d02e0dd6adeee54,4,1,1,3,IS6
NZ_CP033634.1,50439d0953dd65a08470802808a08d8c,1,1,1,2,IS6
NZ_CP059171.1,504568f046728e5a7238b14719e26e31,1,0,0,0,
NZ_CP104517.1,50476fc16ba067ff67e6da8af2c4c350,3,1,2,5,IS1;IS66
NZ_CP086209.1,504aac33fe96fb0260316c352fc820c8,1,0,0,0,
NZ_CP085531.1,505060a07f69e712a6e8b7e995c95f91,1,1,1,4,IS5
NZ_CP041065.1,505d3a14b6e2d0ca65a4d341b57fcd6d,1,0,0,0,
NZ_CP059469.1,505e2ff35ec7f7d9c91a817a721b5f4c,8,1,3,6,IS110;IS6;IS91
NZ_CP053926.1,505ecf137129f52f1d8257fb4899bfbf,2,0,0,0,
NZ_CP050386.1,505f10d24df5c53fbcf645af807a93bc,6,1,3,3,IS4;IS6;IS91
NZ_CP019873.1,5063e9fc86717c0b73fca39aa57c61d6,1,1,0,1,
NZ_CP045194.1,50647bd3a79203bc829fe9e90c962a09,6,0,0,0,
NZ_CP072963.1,506481da41954caa02ac4977aa0ce812,5,1,1,2,IS6
NC_007427.1,506933120354080681358ebadaf13899,1,0,0,0,
NZ_CP091429.1,506df8a78c722f88cc28f0647a0728be,1,0,0,0,
NZ_CP036405.1,507074ed518d30f567ff84cdee45ebd0,1,0,0,0,
NZ_CP097250.1,5071fff064fa2e124901ce5bd0c3898c,5,0,0,0,
NZ_CP051686.1,507acce6baaed214af7b7eef708e7ec0,2,0,0,0,
NZ_CP053786.1,5089be9e23b300833f4b50e9a001b40d,1,0,0,0,
NZ_CP084277.1,50932806b9e0a8cb5633768d0aa752af,4,0,0,0,
NZ_CP019987.1,509a38a64dc03625364aeba70fef3825,1,0,0,0,
NZ_CP087299.1,50a22245956d8de34321350c6ac25fdb,1,1,1,2,IS30
NZ_CP039096.1,50a3a8e38fa28dabcc2ddde58115b387,2,1,1,2,IS30
NZ_CP021880.1,50a6eaf936eb1729a6fea91b568fc206,6,1,1,5,IS6
NZ_CP071720.1,50a839ab1f2d827003e313cb7cb56038,2,0,0,0,
NZ_CP021729.1,50a95556fef75536feddfc5c5eb92174,1,0,0,0,
NZ_CP130622.1,50aaf9e042a20e14667a60d04cd3c8a5,2,1,1,2,IS3
NZ_HG813245.1,50af376a6db0aaecb5a6594509974dd5,1,1,1,2,IS6
NZ_CP042552.1,50b4462f57ecfba6832e14b4a774b6ce,5,1,2,7,IS6;IS91
NZ_CP058360.1,50b47fae83237b09df2168459c015a6b,1,0,0,0,
NZ_CP012273.1,50b54cef5441d0cf67ec7934ee94fb57,2,1,0,1,
NZ_CP060472.1,50b8e456ce2ced37c22920de71a1e457,1,1,1,2,IS3
NZ_CP028252.1,50b8fafe77620b7af35a760d75647b0e,1,0,0,0,
NZ_CP092424.2,50bddfe809fd5464ba4cef40247f0bf3,1,0,0,0,
NZ_CP041093.1,50c7d87cc6c278ae88b768909858ecd1,6,1,2,2,IS3;IS5
NZ_CP067137.1,50ca8239e814060a604346a22e5e0f02,3,0,0,0,
NZ_CP055026.1,50ca8ee9b756e53702ff7b1b2316a93a,1,1,1,2,IS6
NZ_AP026908.1,50cc5cbc9c61385c3b97c413af7dbb9f,4,1,2,2,IS1;IS6
NZ_CP027411.1,50ccf3c997d7528caecdd58258ef7472,4,1,0,1,
NZ_AP025694.1,50d0c96c90fca3d462c1a136794e1735,1,1,1,2,IS256
NZ_CP141564.1,50d2fadeab53475800f654db83d2f185,1,0,0,0,
NZ_CP050722.1,50d6d943809a46bc88e508f95bdb0645,1,0,0,0,
NZ_CP108525.1,50d6eaf94eb6f2800e842fd987021bc9,6,1,1,3,IS630
NZ_CP119807.1,50d842d6db198e0b95ed61449cd68289,1,0,0,0,
NZ_CP127044.1,50da25510cda448429fbc8435aa0cd66,1,0,0,0,
NZ_CP131920.1,50da42dbb05ae5f5d8f860935b63b9e4,1,1,1,4,IS6
NZ_CP035863.1,50e466143537e79136f99a3ea8e200d4,2,0,0,0,
NZ_CP060922.1,50e89fa9a3eb3cbaf315aa49af3b5ffd,2,0,0,0,
NZ_CP033579.1,50edf552fd5e13867a47b87a2871c830,6,1,1,2,IS6
NZ_CP144322.1,50f26a4f43496a9e95fceba3f524b0a6,2,0,0,0,
NZ_CP021020.2,50f362869d31160cb24e0062704feef3,2,1,1,3,IS256
NZ_CP038023.1,50f4bdc15560e654e4de38a5cf6f110e,3,0,0,0,
NZ_CP102245.1,50f847ef28f2e7d543a6c37e2ee5e13c,2,0,0,0,
NZ_CP051294.1,50fe780c51f010754f0eeaa39cc9449e,5,0,0,0,
NZ_OW969712.1,510196c517079b0d9df6e1185bcf179a,2,0,0,0,
NZ_CP027247.2,51025e8f76594497c19153fc73cb5781,2,1,1,2,IS3
NZ_CP037911.1,5102975454dd4b17c07865bb0be02637,3,1,1,3,IS6
NZ_CP063884.1,51040b52db3b816c47268fa942c87bd7,3,1,1,3,IS6
NZ_CP082800.1,5106c3bea85046f7821535c2687554c9,8,1,4,2,IS1;IS110;IS5;IS66
NZ_CP040306.1,5106e0ea72588d6abf73e11c00e7464f,2,0,0,0,
NZ_CP026804.1,510ea01a08057fe7989ed1489918ec5b,9,0,0,0,
NZ_CP026330.1,510f9c47584414de4706dceea9319e51,1,0,0,0,
NZ_CP102375.1,5113b6d6238195e14bd60e0a5eec33c0,5,1,1,2,IS110
NZ_CP123005.1,5116ad9938353359baebccf493d9bc65,11,1,1,3,IS5
NZ_CP032924.1,511905920b84230736917aab7cc3e38c,1,0,0,0,
NZ_CP098332.1,511daad7b9f72e68bb3945c10974d158,3,0,0,0,
NZ_CP021711.1,51216e67d441abc1169f397a01714ab7,1,0,0,0,
NZ_AP017974.1,5126eb7ed41596b3f1efd5139cd648e4,1,0,0,0,
NZ_CP095408.1,512d075e89237ecaa82702ae6df31c2a,3,0,0,0,
NZ_CP138749.1,5134c393be7730c0845a40525271daa0,1,0,0,0,
NZ_AP012546.1,5135649bf4fb378f6916d480f01225fd,1,0,0,0,
NZ_OY754860.1,513c94e413a13b47ee003e8f81da2eef,1,0,0,0,
NZ_CP141663.1,513f6b24d8384cc60b20188159d39b1b,5,1,2,3,IS3;IS6
NZ_CP039187.1,51459ec310686eeb19ff35d6bebbfdf0,7,1,4,3,IS3;IS30;IS6;IS91
NZ_CP103369.1,51467adbd7f68e3b33081a66998c7b3c,1,0,0,0,
NZ_CP117505.1,514aeb3384b4f7704f4aed21e09d53f3,1,0,0,0,
NZ_CP050381.1,515593e36f15900e7059348f2c5a3cf4,1,1,1,2,IS1
NZ_CP086459.1,515887739e2cc52088530d84d54bb50c,8,1,2,5,IS1;IS6
NZ_CP035132.1,515a451d56315ebb59a1fd32dccf79b6,1,0,0,0,
NZ_CP121643.1,515ce02de701fd63da51bfa749b9f741,5,1,1,2,IS6
NZ_CP111042.1,5161cc1aa9cb2fd8c99eccef2ca2cfeb,1,0,0,0,
NZ_CP110954.1,51637236a65595c6d5a70a78253f46c4,2,1,1,2,IS5
NZ_CP026974.1,5165ef1d1e33837fd84811617f41774c,1,0,0,0,
NZ_CP064884.1,5168718225ff16079be0924752174605,1,0,0,0,
NC_010625.1,516c1626c8992ccba9c57360d95ff795,3,0,0,0,
NZ_CP136605.1,516cdf057b2856926278a13553450552,1,0,0,0,
NZ_CP022125.1,516dbc87828d70c72ba83b0533f8c859,4,1,1,2,IS66
NZ_CP091103.1,5170d080a6446662d699b80de9626928,7,0,0,0,
NZ_LT883141.1,5177ff7c8708c9cee8a45d135b45b9bf,6,1,2,2,IS3;IS6
NZ_CP074123.1,517962d018c79d42b7faf397b2c4dbbd,1,0,0,0,
NZ_CP089035.1,517b6074d6667914cbf7cf44a0da153e,1,0,0,0,
NZ_CP013820.1,517e2a6cd8c0731af74c2b7728ba8a36,6,1,2,4,IS5;IS6
NZ_CP038182.1,517e9717c00ff7c37a75acf5ccf81018,3,1,1,2,IS6
NZ_CP126794.1,5185a1751c6b5c202aa384a2baa4585a,2,1,1,3,IS1
NZ_CP056308.1,5191585f94e45a95e739fa9d967f0e53,6,1,1,4,IS110
NZ_CP012534.1,519170c1dfe59d89f1851270119ac33b,1,0,0,0,
NZ_CP092255.1,51945d6ed2cadb17ef56331941a10328,1,0,0,0,
NZ_CP039172.1,51955963d0f170c261b9bef9e0058fa3,6,1,2,7,IS5;IS6
NZ_CP140100.1,51967480cd531f361ecd5a5c9444f93b,1,0,0,0,
NZ_CP038156.1,51970f136637604bac98cce46675132e,2,0,0,0,
NZ_LR135247.1,519c3451ac68b14a9e876e256d613fd3,1,1,1,7,IS6
NZ_CP047659.1,519ec5ab6b204db7f2b793b2084fb7cc,4,1,1,5,IS6
NZ_CP123505.1,51a0320b3079e4b2c65ae21a570a2db1,2,0,0,0,
NZ_CP013947.1,51af1ffb5544c37b31f7e860759eae45,2,1,1,2,IS30
NZ_CP136942.1,51b1ac0cfd1d1d68c4c9460c3f5991c6,5,1,2,3,IS5;IS6
NZ_CP137400.1,51b4c670db9a9513e291a18eace4f4e9,6,1,1,5,IS6
NZ_CP123373.1,51bdfe678f15f7ea6ab396568cb30fca,5,1,2,3,IS6;new
NZ_CP096023.1,51bf653490bfed4e0af505f91c42e113,1,0,0,0,
NZ_CP027409.1,51c1f886196340ca6c159e862b52847f,3,1,1,2,new
NZ_CP132622.1,51c8b113a052c7004ea389d6cd050012,7,1,1,2,IS5
NZ_CP020517.1,51e1e052080a82cf5feab58dbf901033,2,1,1,5,IS6
NZ_CP101258.1,51e5ae338958fbdb3cac88e552b9f768,5,1,2,5,IS1;IS6
NZ_CP091175.1,51ea01a8879b0c3b51c7b972d4411e5d,1,0,0,0,
NZ_CP024583.1,51ea69480198d64e9661aad27d1aeeae,7,1,2,3,IS3;IS5
NZ_CP092374.1,51ea6fb49aa9661a1442d4e0d73d53c4,1,1,0,1,
NZ_AP019010.1,51efc3d0a7597ba07583ffaa82772328,3,1,1,2,new
NZ_AP024751.1,51fb99cb7095b8e430f32097a4668908,3,1,1,2,IS6
NZ_CP047261.1,51fbfaf159b4b213d384335a707f775b,4,1,1,2,IS66
NZ_CP021077.1,5201004fd22e68cd16486dbc6166e52c,4,1,0,1,
NZ_CP090024.1,520c46224f2ab315b1f34828cb00bce1,3,1,1,2,IS110
NZ_CP117257.1,520e01bf7ecd02cce1fd0c35848876f3,7,1,1,3,IS5
NZ_AP025840.1,521219018ee7d5ed9855ed665b472305,6,1,3,4,IS1;IS4;IS5
NZ_CP096222.1,52177741e0c7e10c1ceed629ce11d4f6,2,1,1,3,IS6
NC_009930.1,5217cb4e8684817ba925ebe125caf54a,2,0,0,0,
NZ_CP035514.1,5219b76b73ffd163e355545b81c74013,2,0,0,0,
NZ_CP012626.1,521ad6382e139285f4b7cf58fc094336,3,1,1,3,IS6
NZ_CP098363.1,521e1e164e4153e18960bec5bc382c38,2,1,0,1,
NZ_CP013633.1,5225cf8c5edf271ee22a414432f28446,7,1,3,3,IS21;IS3;IS66
NZ_CP080076.1,522c7013ce2d5ab8424e668826525237,5,1,1,4,IS6
NZ_CP028692.1,522dcc09abf3e1414a10ecfddf070fec,1,0,0,0,
NZ_CP141555.1,523675a971fd7e710c8c9295a3273b0f,9,1,2,5,IS1;IS6
NZ_CP032436.1,523820cf11b3efe416c9281c205f0efa,4,0,0,0,
NZ_CP123196.1,52396885840d8a66898dd1108e1516f3,1,1,1,4,IS6
NZ_AP018047.1,523baeb79ebe79a43dceb855852f9f78,1,0,0,0,
NZ_CP069678.1,52444a6016dc3188580aaf40390818df,4,1,2,3,IS4;IS6
NZ_CP025858.1,52450b49b8701af7304ddecd361e1080,5,1,1,2,IS3
NZ_CP025860.1,524654514a47933aeb6efcc80776723b,4,1,1,2,IS3
NC_004565.1,52501ebf476f01ec75c60cc3e45959c8,1,0,0,0,
NZ_CP014753.1,52527daf8e3e3c85d3cf7912e426ca7c,1,1,1,2,IS3
NZ_CP099369.1,5255e4caf4c599705e81e3b8b8b15f2b,1,0,0,0,
NZ_CP032888.1,52562a9e730cda7263390d29a423109d,2,1,1,2,IS6
NZ_CP096978.1,52571a6a506dd00c04373f65d174cee6,4,0,0,0,
NZ_CP034324.1,525daf56e4ed4c49d55dc797e0af2fa7,2,1,1,8,IS6
NZ_CP031652.1,525fd0db27949f52d91526bc75460f00,3,0,0,0,
NZ_CP033227.1,5268a2a0e204b28fec6d2843c174ba88,8,1,4,5,IS256;IS5;IS6;new
NZ_CP011133.1,526c7ffbe968b6275a1da82aa4d0bd14,1,0,0,0,
NZ_CP138738.1,526e3c4bde3ef59f549569ec3980528f,3,1,1,3,IS6
NZ_CP063506.1,527906c47acc6e3a9a0f9a170e61abd7,6,1,1,3,IS6
NZ_CP014253.1,5279b6755693611189261a219c057cd4,1,0,0,0,
NZ_CP046021.1,527e14785a80808bef78a46aba46862b,1,1,1,2,IS3
NZ_CP139338.1,5282eeb142e37a6746ce34562c2fd203,3,0,0,0,
NZ_AP028132.1,5283895eb777e9e82eaff39609a3a9c0,1,1,1,2,IS5
NZ_CP066585.1,528491955b7874ebce06a34c344e9deb,6,1,1,2,IS6
NZ_CP050836.1,52853a71b7403efb784b1faea9cddb99,8,1,1,3,IS6
NZ_CP071633.1,528a2c8db6c3427475532f8bb09f550f,3,0,0,0,
NZ_CP012500.1,528a3a7aef5b0a1d1408cc9d5aa0569e,7,0,0,0,
NC_022602.1,528cefc7428470c88d010a9fa4a815ab,1,0,0,0,
NZ_CP130482.1,5294535f9752e7530a520da1fb132a7e,2,0,0,0,
NZ_CP016744.2,5294ae7ad3784c5d43e3c89713eac662,3,0,0,0,
NZ_CP019603.1,5295a9e89f5f6a854f50090b7b670069,8,1,2,3,IS256;IS5
NZ_CP114573.1,529e85db8f8b244a0fccb0290704c2e6,2,0,0,0,
NZ_CP092671.1,52a15086a074af401d162812fe512f8c,1,1,0,1,
NZ_CP053631.1,52a33dabe8846da4986173c53a0cd3f4,3,0,0,0,
NZ_CP139747.1,52a917f43d07b2774df2ec090229b017,1,0,0,0,
NZ_CP091428.1,52acc657c246ca09490b5cff4c293b2b,5,1,1,2,IS6
NZ_CP059476.1,52adb977df386dcd951100118362254d,2,0,0,0,
NZ_CP065422.1,52b1de11d9902504f52f4207afb04111,1,0,0,0,
NZ_CP086327.1,52b39941f806beae7b65e3d2e6902130,2,0,0,0,
NZ_CP074702.1,52b509fd7ebeef5feb35d0f5d5b9b8ac,2,0,0,0,
NZ_CP135682.1,52b6084c7fe0103fcb88800d48c1553f,1,1,1,3,IS6
NZ_CP009606.1,52b75218eab53d484c24548b45dbf57a,2,0,0,0,
NZ_CP063451.1,52bc92ac79b61c2561b25e70520449c9,4,0,0,0,
NZ_LR594665.1,52c5d8d28387034f05b5aafcd079e7fc,1,1,1,2,IS91
NZ_CP094751.1,52c5dc0e63f406e0f387da9e466f1da7,2,1,1,2,ISL3
NZ_CP070042.1,52c765f0496580845dc6cf74b1375f0b,2,0,0,0,
NZ_CP041273.1,52cd94a14863247c7d3b858f07bfa9c2,1,0,0,0,
NZ_CP073658.1,52cfb3a88cfa584de946ba7b748505e5,4,1,1,3,IS1
