accession,rohan_transposase_count,isescan_is_copies,isescan_complete,isescan_partial
NZ_CP066174.1,13,20,12,8
NZ_CP123545.1,83,76,24,52
NZ_CP123546.1,38,30,9,21
NZ_CP123547.1,23,21,8,13
NZ_CP123548.1,18,14,3,11
NZ_CP123549.1,13,15,5,10
NZ_CP123550.1,28,21,3,18
NZ_CP123551.1,2,2,0,2
NZ_CP123554.1,8,7,0,7
NZ_CP123555.1,4,1,0,1
NZ_CP123556.1,1,1,1,0
NZ_CP123557.1,5,3,2,1
NZ_CP123558.1,1,1,1,0
NZ_CP123559.1,1,0,0,0
NC_011316.1,1,1,1,0
NC_011314.1,4,5,1,4
NC_011311.1,3,1,0,1
NZ_CP122924.1,10,13,5,8
NZ_CP122926.1,5,7,2,5
NZ_CP122927.1,25,32,13,19
NC_020530.1,3,3,3,0
NZ_CP037924.1,37,76,30,46
NZ_CP020999.2,1,3,2,1
NZ_CP012874.1,6,4,0,4
NZ_CP012878.1,1,1,0,1
NZ_CP029953.1,15,14,13,1
NZ_CP049119.1,16,20,13,7
NZ_CP049120.1,4,3,1,2
NZ_CP049126.1,1,1,0,1
NZ_CP049121.1,7,5,4,1
NZ_CP018955.1,7,9,7,2
NZ_CP018954.1,12,14,11,3
NZ_CP018956.1,21,12,8,4
NZ_CP139131.1,23,30,17,13
NZ_CP139132.1,1,1,0,1
NZ_CP119741.1,17,12,12,0
NZ_CP119742.1,16,15,4,11
NZ_CP119743.1,3,2,2,0
NZ_CP119744.1,12,10,6,4
NZ_CP119745.1,19,24,10,14
NZ_CP013150.1,8,5,3,2
NZ_CP013151.1,7,6,4,2
NZ_CP013153.2,6,9,5,4
NZ_CP013152.2,4,7,4,3
NZ_CP013155.2,4,3,2,1
NZ_CP013156.2,5,5,5,0
NZ_CP013154.2,2,1,1,0
NZ_CP013158.2,1,1,0,1
NZ_CP035517.1,17,20,14,6
NZ_CP003998.1,4,2,1,1
NZ_CP004000.1,30,29,21,8
NZ_CP132965.1,12,17,12,5
NZ_CP047925.1,3,1,1,0
NZ_CP054220.1,13,15,10,5
NZ_CP054221.1,1,2,0,2
NZ_CP092826.1,2,2,2,0
NZ_CP013143.1,3,2,2,0
NZ_CP069970.1,2,2,2,0
NZ_CP069972.1,1,1,0,1
NZ_CP069974.1,16,20,15,5
NZ_CP022299.1,11,15,9,6
NZ_CP039271.1,15,16,12,4
NC_020539.1,2,2,1,1
NZ_AP023176.1,7,11,5,6
NZ_AP023177.1,19,17,9,8
NZ_OW848981.1,10,13,10,3
NZ_OW848982.1,3,5,2,3
NZ_OW848983.1,5,5,5,0
NZ_CP039182.1,57,68,33,35
NZ_CP039183.1,2,4,0,4
NZ_CP039184.1,9,12,3,9
NZ_CP039185.1,12,13,3,10
NZ_CP045299.1,1,8,1,7
NZ_CP016746.2,10,9,6,3
NZ_CP016747.2,7,10,9,1
NZ_CP016748.2,10,14,8,6
NZ_CP016749.2,6,7,4,3
NZ_CP121224.1,3,5,5,0
NZ_CP053952.1,5,12,5,7
NZ_CP053953.1,17,14,9,5
NZ_CP035875.1,29,43,18,25
NZ_CP035878.1,9,7,4,3
NZ_CP035877.1,4,4,2,2
NZ_CP051489.1,4,4,1,3
NZ_CP046625.1,1,0,0,0
NZ_CP070857.1,7,9,6,3
NZ_CP073985.1,11,9,5,4
NZ_CP073986.1,14,18,14,4
NZ_OW967976.1,11,15,8,7
NZ_OW967977.1,5,5,3,2
NZ_OW967978.1,4,4,4,0
NZ_OW967980.1,2,2,2,0
NZ_CP041214.1,9,4,3,1
NZ_CP016323.1,3,7,2,5
NZ_CP024713.1,1,1,0,1
NZ_CP024714.1,1,5,1,4
NZ_CP018222.1,3,1,0,1
NZ_CP018223.1,8,6,2,4
NZ_CP018224.1,5,4,3,1
NZ_CP018225.1,4,4,1,3
NZ_CP137229.1,3,4,1,3
NZ_CP137230.1,8,8,6,2
NZ_CP116751.1,8,8,6,2
NZ_CP116753.1,2,2,2,0
NZ_CP116754.1,2,1,1,0
NZ_CP048762.1,1,2,2,0
NZ_CP014434.1,3,5,3,2
NZ_CP097659.1,13,11,10,1
NZ_AP024934.1,9,8,7,1
NZ_AP024935.1,7,8,6,2
NZ_AP024936.1,1,0,0,0
NZ_LN831303.1,9,7,4,3
NZ_LN831304.1,10,7,6,1
NZ_LN831305.1,2,2,0,2
NZ_CP092273.1,10,21,10,11
NZ_CP092274.1,19,17,16,1
NZ_CP092275.1,4,4,1,3
NZ_CP070915.1,17,17,16,1
NZ_CP070916.1,21,26,17,9
NZ_CP070917.1,1,0,0,0
NZ_CP039714.1,1,2,0,2
NZ_CP039715.1,3,3,2,1
NZ_CP042935.2,4,4,3,1
NZ_CP042936.2,3,3,2,1
NZ_CP065129.1,3,4,2,2
NZ_CP070116.1,11,14,6,8
NZ_CP016763.1,14,12,11,1
NZ_CP016764.1,17,16,12,4
NZ_CP016765.1,1,0,0,0
NZ_CP007741.1,1,2,0,2
NZ_CP007740.1,1,0,0,0
NZ_CP039379.1,7,4,2,2
NZ_CP103379.1,1,0,0,0
NZ_CP035314.1,4,5,4,1
NZ_CP035315.1,7,7,5,2
NZ_CP035313.1,1,2,2,0
NZ_CP045214.1,6,13,3,10
NZ_CP110151.1,39,48,31,17
NZ_CP110152.1,15,17,11,6
NZ_OD940438.1,1,2,0,2
NZ_OD940439.1,5,6,5,1
NC_014017.1,3,9,1,8
NC_014022.1,6,7,4,3
NC_014027.1,2,1,0,1
NZ_CP103688.1,12,15,12,3
NZ_CP103689.1,5,5,2,3
NZ_CP084394.1,1,0,0,0
NZ_CP084395.1,33,38,27,11
NZ_CP016274.1,4,10,2,8
NZ_CP016275.1,8,7,4,3
NZ_CP016276.1,2,1,0,1
NZ_CP138774.1,27,35,21,14
NZ_CP138775.1,12,15,10,5
NZ_CP015273.1,2,1,1,0
NZ_CP015274.1,3,1,1,0
NZ_CP015275.1,1,1,0,1
NZ_CP040702.1,8,9,8,1
NZ_CP089013.1,18,26,15,11
NZ_CP017569.1,11,8,7,1
NZ_CP132373.1,2,0,0,0
NZ_CP082337.1,4,4,4,0
NZ_AP027425.1,16,23,15,8
NZ_AP027426.1,11,19,12,7
NZ_AP027427.1,1,1,1,0
NZ_CP055031.1,6,7,5,2
NC_011419.1,3,4,2,2
NC_011416.1,4,7,3,4
NZ_CP034313.1,4,2,2,0
NZ_CP053861.1,1,0,0,0
NZ_CP040704.1,34,38,29,9
NZ_CP040708.1,17,14,9,5
NZ_CP040703.1,1,1,1,0
NZ_CP044301.1,7,17,12,5
NZ_CP044302.1,2,2,2,0
NZ_CP044299.1,12,29,21,8
NZ_CP101568.1,19,30,21,9
NZ_CP101569.1,22,22,21,1
NZ_CP024787.1,10,5,2,3
NZ_CP024788.1,17,17,4,13
NZ_CP024789.1,8,7,2,5
NZ_CP024790.1,1,3,2,1
NZ_CP024791.1,25,18,11,7
NZ_CP024792.1,33,29,9,20
NZ_CP024793.1,39,30,11,19
NZ_CP115843.1,6,5,4,1
NZ_CP115844.1,2,2,2,0
NZ_CP115846.1,5,4,3,1
NZ_CP133483.1,2,2,1,1
NZ_CP133484.1,1,1,0,1
NZ_CP032703.1,2,1,1,0
NZ_CP032704.1,4,6,3,3
NZ_CP056433.1,32,37,26,11
NZ_CP056434.1,20,13,11,2
NZ_CP056435.1,15,14,12,2
NZ_CP056437.1,2,0,0,0
NZ_CP096895.1,3,4,2,2
NZ_CP096897.1,3,1,0,1
NZ_CP082088.1,9,11,5,6
NZ_CP082089.1,1,2,0,2
NZ_CP082090.1,3,2,1,1
NZ_CP144219.1,15,18,12,6
NZ_CP011654.1,14,13,11,2
NZ_CP011653.1,4,3,2,1
NZ_CP011656.1,13,5,2,3
NZ_CP114607.1,28,40,24,16
NZ_CP114613.1,2,2,1,1
NZ_CP041762.1,6,12,8,4
NZ_CP041760.1,2,2,2,0
NZ_CP041761.1,1,1,1,0
NZ_CP057723.1,3,14,7,7
NZ_CP057724.1,2,2,1,1
NZ_CP056160.1,2,6,5,1
NZ_AP014640.1,26,23,12,11
NZ_CP110864.1,7,5,4,1
NZ_CP087152.1,21,29,16,13
NZ_CP087153.1,11,12,9,3
NZ_CP087154.1,7,10,6,4
NZ_CP086327.1,6,6,4,2
NZ_CP026158.1,6,9,6,3
NZ_CP113905.1,13,17,10,7
NZ_CP113906.1,1,1,1,0
NZ_CP113907.1,7,7,4,3
NZ_CP019671.1,1,1,1,0
NZ_CP034347.1,1,1,0,1
NZ_CP018696.1,9,11,10,1
NZ_CP018698.1,8,6,5,1
NZ_CP018700.1,4,4,4,0
NZ_CP018699.1,10,12,8,4
NZ_CP045861.1,4,3,3,0
NZ_CP045862.1,4,4,2,2
NZ_CP127502.1,24,30,20,10
NZ_CP024192.1,28,25,22,3
NZ_CP024193.1,9,12,7,5
NZ_CP024194.1,17,19,13,6
NZ_CP114064.1,2,2,1,1
NZ_CP032520.1,17,16,7,9
NZ_CP017793.1,37,44,34,10
NZ_CP017794.1,3,1,1,0
NZ_CP017795.1,7,8,5,3
NZ_CP017796.1,1,1,1,0
NZ_CP084533.1,4,5,3,2
NZ_CP048057.1,7,9,4,5
NZ_CP048059.1,3,5,0,5
NZ_CP048060.1,76,93,62,31
NZ_CP048061.1,34,34,26,8
NZ_CP048062.1,3,6,4,2
NZ_CP048063.1,10,12,6,6
NZ_CP048064.1,2,9,6,3
NZ_CP048065.1,7,8,3,5
NZ_CP041407.1,1,0,0,0
NZ_CP077804.1,1,2,2,0
NC_010371.1,13,10,9,1
NZ_CP091938.1,6,5,2,3
NZ_CP091939.1,5,10,5,5
NZ_CP129380.1,6,10,3,7
NZ_CP129381.1,1,2,0,2
NZ_AP021915.1,13,20,13,7
NZ_AP021916.1,1,2,0,2
NZ_AP018282.1,4,4,2,2
NZ_AP018283.1,3,2,0,2
NZ_AP018284.1,10,9,4,5
NZ_AP018285.1,2,0,0,0
NZ_AP018500.1,11,13,8,5
NZ_AP018501.1,3,3,0,3
NZ_AP018502.1,3,8,7,1
NZ_AP018503.1,2,4,2,2
NZ_CP124504.1,4,3,0,3
NZ_CP124503.1,17,20,13,7
NZ_CP103495.1,8,7,2,5
NZ_CP103496.1,5,4,4,0
NZ_CP081702.1,2,2,2,0
NZ_CP081703.1,3,2,2,0
NZ_CP110297.1,2,4,2,2
NZ_CP093153.1,17,16,13,3
NZ_CP093152.1,13,25,15,10
NZ_LN681228.1,17,20,11,9
NZ_CP069875.1,17,21,14,7
NC_007713.1,2,7,3,4
NC_007714.1,2,4,2,2
NZ_AP022937.1,11,10,7,3
NZ_AP022938.1,5,2,1,1
NZ_AP022940.1,2,2,2,0
NZ_AP022942.1,1,0,0,0
NZ_LR890652.1,21,26,17,9
NZ_LR890653.1,9,6,4,2
NZ_CP137200.1,2,1,0,1
NZ_CP137199.1,3,5,3,2
NZ_CP137202.1,30,32,25,7
NZ_CP040734.1,1,2,2,0
NZ_CP097226.1,8,10,6,4
NZ_CP097225.1,16,19,13,6
NZ_CP097224.1,20,24,18,6
NZ_CP143286.1,3,3,0,3
NZ_CP143287.1,3,3,2,1
NZ_CP143288.1,3,2,1,1
NZ_CP064050.1,37,55,43,12
NZ_CP064051.1,2,5,2,3
NZ_CP064052.1,12,10,9,1
NZ_CP043441.1,21,26,14,12
NZ_CP043439.1,14,13,8,5
NZ_CP035980.1,6,4,4,0
NZ_CP035981.1,1,0,0,0
NZ_CP035982.1,25,31,24,7
NZ_CP076142.1,5,10,5,5
NZ_CP015943.1,2,1,1,0
NZ_CP025626.1,17,19,12,7
NZ_CP025625.1,3,2,2,0
NZ_CP029096.1,19,14,12,2
NZ_CP103373.1,9,11,8,3
NZ_CP100264.1,45,37,20,17
NZ_CP100265.1,1,2,0,2
NZ_CP100266.1,6,6,6,0
NZ_CP100267.1,18,14,12,2
NZ_AP023225.1,16,19,16,3
NZ_CP108391.1,70,70,39,31
NZ_AP022158.1,18,24,14,10
NZ_CP015315.1,2,1,0,1
NZ_CP015314.1,3,1,1,0
NZ_CP015313.1,2,0,0,0
NZ_CP015312.1,10,8,7,1
NZ_CP015311.1,14,18,14,4
NZ_CP093197.1,1,0,0,0
NZ_CP013529.1,1,1,1,0
NZ_CP013530.1,20,28,8,20
NZ_CP013531.1,10,11,3,8
NZ_CP142828.1,3,5,5,0
NZ_CP041286.1,21,29,15,14
NZ_CP062139.1,26,31,22,9
NZ_CP062140.1,10,12,9,3
NZ_CP062141.1,13,14,8,6
NZ_CP062142.1,1,0,0,0
NZ_CP076168.1,5,10,5,5
NZ_CP047188.1,1,0,0,0
NZ_CP102298.1,1,0,0,0
NZ_CP026078.1,2,2,2,0
NC_013655.1,18,18,9,9
NZ_CP010385.1,1,1,0,1
NZ_CP010386.1,2,1,1,0
NZ_CP010387.1,5,2,1,1
NZ_CP030127.1,12,14,8,6
NZ_CP030128.1,14,34,4,30
NZ_CP030129.1,12,10,6,4
NZ_CP095047.1,5,1,0,1
NZ_CP095048.1,1,0,0,0
NZ_CP024249.1,23,28,13,15
NZ_CP024250.1,4,6,6,0
NZ_CP016850.1,4,1,0,1
NZ_CP016851.1,1,0,0,0
NZ_CP030195.1,1,1,1,0
NZ_CP093327.1,1,2,1,1
NZ_CP026833.1,52,84,49,35
NZ_CP051385.1,12,13,9,4
NZ_CP071844.1,4,5,3,2
NZ_CP036437.1,6,5,2,3
NZ_CP036436.1,5,2,2,0
NZ_CP141597.1,4,5,3,2
NZ_CP141599.1,1,1,0,1
NZ_CP113243.1,5,4,4,0
NZ_CP091572.1,19,22,16,6
NZ_CP091573.1,2,2,0,2
NZ_CP091574.1,4,4,4,0
NZ_CP091575.1,4,4,3,1
NZ_CP016593.1,1,1,0,1
NZ_CP144124.1,7,16,8,8
NZ_CP124028.1,1,1,1,0
NZ_CP018817.1,4,3,2,1
NZ_CP018818.1,11,13,9,4
NZ_CP018819.1,14,15,11,4
NC_021155.1,11,8,6,2
NZ_CP048463.1,2,2,2,0
NZ_CP096020.1,2,0,0,0
NZ_CP096021.1,4,6,1,5
NZ_CP096022.1,3,5,0,5
NZ_CP096023.1,3,3,3,0
NZ_CP010742.1,4,4,3,1
NZ_CP101271.1,5,5,4,1
NZ_CP101270.1,7,6,2,4
NZ_CP101273.1,4,5,4,1
NZ_CP101272.1,2,1,0,1
NZ_CP098150.1,16,23,16,7
NZ_CP049911.1,20,18,12,6
NZ_CP049912.1,8,5,3,2
NZ_CP044072.1,1,3,2,1
NZ_CP044073.1,2,1,1,0
NZ_CP107574.1,1,1,1,0
NZ_CP083902.1,2,1,0,1
NZ_CP083901.1,2,2,0,2
NZ_CP083899.1,1,1,0,1
NZ_AP025748.1,23,49,25,24
NZ_LT963403.1,7,8,1,7
NZ_LT963404.1,17,17,4,13
NZ_LT963405.1,21,21,6,15
NZ_LT963406.1,20,12,3,9
NZ_LT963407.1,7,13,3,10
NZ_CP009316.1,3,9,5,4
NZ_CP124838.1,11,11,8,3
NZ_CP124839.1,4,3,3,0
NZ_CP061180.1,5,9,2,7
NZ_CP061181.1,1,3,0,3
NZ_CP061182.1,2,4,0,4
NZ_CP061183.1,1,1,0,1
NZ_CP133651.1,8,14,10,4
NZ_CP044029.1,24,25,22,3
NZ_CP124883.1,4,4,3,1
NZ_CP028344.1,1,0,0,0
NZ_CP028345.1,1,0,0,0
NZ_CP028346.1,3,4,3,1
NZ_CP104524.1,12,15,7,8
NZ_CP104525.1,12,6,3,3
NZ_CP141768.1,3,2,2,0
NZ_CP053733.1,11,12,5,7
NZ_CP053732.1,12,18,15,3
NZ_CP053734.1,2,4,3,1
NZ_CP053735.1,1,1,1,0
NZ_CP144320.1,13,21,11,10
NZ_CP135455.1,19,16,11,5
NZ_CP135456.1,3,3,3,0
NZ_CP135457.1,2,1,0,1
NZ_CP039946.1,7,6,5,1
NZ_CP039947.1,4,4,4,0
NZ_CP060050.1,21,29,21,8
NZ_CP081506.1,10,11,9,2
NZ_CP025553.1,2,4,3,1
NZ_CP048134.1,4,4,4,0
NZ_CP048135.1,19,21,12,9
NZ_CP060455.1,1,0,0,0
NZ_CP060458.1,1,0,0,0
NZ_CP060454.1,2,0,0,0
NZ_CP060459.1,3,6,5,1
NZ_CP060457.1,1,0,0,0
NC_011996.1,7,5,4,1
NZ_CP071156.1,12,10,9,1
NC_003276.1,30,26,21,5
NC_003240.1,4,2,1,1
NC_003273.1,2,4,3,1
NC_003270.1,2,2,1,1
NC_003267.1,7,6,3,3
NZ_CP056761.1,21,21,14,7
NZ_CP056762.1,4,2,2,0
NZ_CP104964.1,1,1,0,1
NZ_CP119208.1,21,26,19,7
NZ_CP119212.1,13,25,15,10
NZ_CP086895.1,1,0,0,0
NZ_CP086896.1,27,25,12,13
NZ_CP086897.1,5,3,1,2
NZ_CP086898.1,1,0,0,0
NZ_CP086899.1,2,1,1,0
NZ_CP086900.1,11,16,10,6
NZ_CP084540.1,7,11,3,8
NZ_CP092410.1,22,26,19,7
NZ_CP096259.1,16,17,8,9
NZ_CP049174.1,5,7,5,2
NZ_CP032414.1,5,4,4,0
NZ_CP085511.1,14,12,8,4
NZ_CP130916.1,13,8,5,3
NZ_CP130919.1,5,6,5,1
NZ_CP130918.1,10,12,9,3
NZ_CP079226.1,18,25,9,16
NZ_CP079227.1,16,14,12,2
NZ_CP079228.1,3,4,1,3
NZ_CP079229.1,4,2,2,0
NZ_CP107820.1,3,1,0,1
NZ_CP118066.1,3,4,3,1
NZ_CP058165.1,8,8,6,2
NZ_CP058166.1,1,0,0,0
NZ_CP103728.1,11,15,11,4
NZ_CP029006.1,14,24,12,12
NZ_CP029007.1,11,18,10,8
NZ_CP041027.1,12,12,8,4
NZ_CP133182.1,21,31,16,15
NZ_CP027350.1,20,26,13,13
NZ_CP108530.1,14,21,12,9
NZ_CP016951.1,95,100,61,39
NZ_CP025009.1,19,16,11,5
NZ_CP025010.1,12,6,4,2
NZ_CP121642.1,41,48,30,18
NZ_CP121643.1,5,15,7,8
NZ_CP028335.1,5,5,5,0
NZ_CP028336.1,3,3,1,2
NZ_CP028337.1,9,10,7,3
NZ_CP028338.1,2,1,1,0
NZ_CP090910.1,12,15,11,4
NZ_CP040365.1,1,0,0,0
NZ_CP040366.1,5,6,3,3
NZ_CP063502.1,13,14,10,4
NZ_CP048004.1,4,7,6,1
NZ_CP048005.1,2,3,0,3
NZ_CP104339.1,31,30,19,11
NZ_CP072271.1,19,20,11,9
NZ_CP072272.1,2,2,2,0
NZ_CP053576.1,2,3,2,1
NZ_CP053577.1,3,6,2,4
NZ_CP081720.1,24,26,20,6
NZ_CP081721.1,19,20,18,2
NZ_CP123766.1,17,15,8,7
NZ_CP123767.1,2,1,0,1
NZ_CP123768.1,3,1,1,0
NZ_CP016516.1,5,6,2,4
NZ_CP020355.1,3,1,1,0
NZ_CP053081.1,3,4,1,3
NZ_CP053082.1,4,4,3,1
NZ_CP053083.1,1,0,0,0
NZ_CP041972.1,5,8,3,5
NZ_CP071018.1,27,26,20,6
NZ_CP114037.1,1,0,0,0
NZ_CP090385.1,6,9,4,5
NZ_CP090383.1,1,2,0,2
NZ_CP090384.1,6,6,4,2
NZ_CP107121.1,22,19,13,6
NC_022533.1,2,2,1,1
NC_022534.1,3,5,2,3
NZ_CP040571.1,2,6,3,3
NZ_CP068420.1,14,18,11,7
NZ_CP068421.1,10,14,7,7
NZ_CP068422.1,2,6,2,4
NZ_CP068423.1,5,4,3,1
NZ_CP068424.1,1,1,0,1
NZ_CP008839.1,2,3,0,3
NZ_CP117231.1,2,2,2,0
NZ_CP139169.1,23,25,19,6
NZ_CP139168.1,22,23,11,12
NZ_CP139167.1,13,15,7,8
NZ_CP139165.1,15,11,6,5
NZ_CP084644.1,13,21,15,6
NZ_CP084645.1,1,2,2,0
NZ_CP070521.1,12,10,6,4
NZ_CP019353.1,24,25,21,4
NC_017471.1,1,3,0,3
NC_017472.1,4,7,3,4
NZ_CP089045.1,8,22,18,4
NZ_CP089046.1,12,19,16,3
NZ_CP089048.1,5,11,9,2
NZ_CP035546.1,4,8,6,2
NZ_CP086105.1,41,48,38,10
NZ_CP088976.1,5,6,4,2
NZ_CP088977.1,4,3,1,2
NZ_CP016875.1,5,4,2,2
NZ_CP058362.1,8,11,5,6
NZ_CP058363.1,10,13,9,4
NZ_CP122373.1,10,13,11,2
NZ_CP016729.2,9,14,8,6
NZ_CP016733.2,4,7,6,1
NZ_CP122374.1,2,2,1,1
NZ_CP122376.1,1,1,1,0
NZ_OU015346.1,37,36,30,6
NZ_OU015347.1,4,3,3,0
NZ_OU015348.1,12,10,9,1
NZ_OU015349.1,2,1,1,0
NZ_CP017008.1,6,8,6,2
NZ_OX458337.1,7,9,4,5
NZ_OX458336.1,13,14,8,6
NZ_CP117328.1,6,7,4,3
NZ_CP023400.1,1,1,0,1
NZ_CP054859.1,7,11,3,8
NZ_CP054860.1,8,14,6,8
NZ_CP107313.1,13,15,12,3
NZ_CP107314.1,14,20,12,8
NZ_CP107316.1,6,7,5,2
NZ_CP107319.1,1,1,0,1
NZ_CP027635.1,2,1,1,0
NZ_CP067262.1,1,2,1,1
NZ_CP067263.1,2,3,2,1
NZ_CP060518.1,9,4,3,1
NZ_CP060519.1,2,2,2,0
NZ_CP091202.1,9,10,8,2
NZ_CP062709.1,5,7,3,4
NZ_CP056664.1,15,13,9,4
NZ_CP056665.1,8,8,5,3
NZ_CP074148.1,11,13,8,5
NZ_CP062313.1,1,0,0,0
NZ_CP091331.1,18,21,16,5
NZ_CP091332.1,5,6,5,1
NZ_CP021752.1,19,20,13,7
NZ_CP021753.1,10,7,2,5
NZ_CP021754.1,5,1,1,0
NZ_CP021755.1,9,7,5,2
NZ_CP021756.1,6,4,1,3
NZ_CP109602.1,17,23,10,13
NZ_CP059559.1,3,3,2,1
NZ_AP022184.1,24,40,26,14
NZ_AP022185.1,9,9,5,4
NZ_CP138549.1,8,10,5,5
NZ_CP138550.1,14,13,8,5
NZ_CP138551.1,14,23,14,9
NZ_CP011362.1,3,3,2,1
NZ_CP029739.1,32,32,16,16
NZ_CP029740.1,9,5,5,0
NZ_CP115697.1,2,3,3,0
NZ_CP115698.1,9,10,3,7
NZ_CP114995.1,4,4,3,1
NZ_CP062230.1,4,7,3,4
NZ_CP089533.1,7,3,2,1
NZ_CP021798.1,33,44,27,17
NZ_CP021799.1,12,18,13,5
NZ_CP031891.1,3,4,4,0
NZ_CP069956.1,4,5,4,1
NZ_CP069955.1,2,2,2,0
NZ_CP043288.1,1,1,1,0
NZ_CP043289.1,4,4,2,2
NZ_CP043290.1,1,2,0,2
NZ_CP043287.1,5,5,4,1
NZ_CP043286.1,14,14,12,2
NZ_CP043285.1,5,6,2,4
NZ_CP106737.1,9,12,7,5
NZ_CP106739.1,2,2,1,1
NZ_CP047280.1,28,27,26,1
NZ_CP133455.1,1,1,0,1
NZ_CP133454.1,13,11,5,6
NZ_CP057897.1,14,11,4,7
NZ_CP056720.1,21,17,14,3
NZ_CP056721.1,16,13,9,4
NZ_CP056723.1,1,2,0,2
NZ_CP114209.1,7,6,4,2
NZ_CP075535.1,4,3,3,0
NZ_CP070241.1,1,0,0,0
NZ_CP070243.1,4,7,3,4
NZ_CP041093.1,21,18,17,1
NZ_CP041094.1,7,13,6,7
NZ_CP041095.1,8,9,4,5
NZ_CP041096.1,2,2,1,1
NZ_CP123281.1,20,21,15,6
NZ_CP033042.1,9,10,8,2
NZ_CP116576.1,7,9,5,4
NZ_CP116577.1,1,1,1,0
NZ_CP048587.1,1,3,2,1
NZ_CP048586.1,3,5,4,1
NZ_CP127256.1,2,11,4,7
NZ_OW849065.1,17,15,8,7
NZ_OW849066.1,2,3,2,1
NZ_CP082039.1,21,21,19,2
NZ_CP030316.1,13,17,13,4
NZ_CP062069.1,4,3,0,3
NZ_CP038382.1,5,7,4,3
NZ_CP048757.1,1,2,0,2
NZ_CP051654.1,6,7,4,3
NZ_CP051655.1,8,13,6,7
NZ_CP058304.1,1,1,0,1
NZ_CP058305.1,11,19,13,6
NZ_CP123992.1,13,16,12,4
NZ_CP025233.1,4,3,2,1
NZ_CP042822.1,1,2,0,2
NZ_CP040989.1,5,11,4,7
NZ_CP122826.1,1,1,0,1
NZ_CP122827.1,11,13,6,7
NZ_CP122828.1,2,2,0,2
NZ_CP122829.1,13,7,3,4
NZ_CP122830.1,16,20,5,15
NZ_CP122831.1,1,1,1,0
NZ_CP110048.1,1,0,0,0
NZ_CP101923.1,1,1,0,1
NZ_CP044394.1,6,15,10,5
NZ_CP044395.1,1,2,2,0
NZ_AP025811.1,23,25,20,5
NZ_CP113528.1,8,8,5,3
NZ_CP132296.1,3,6,3,3
NZ_CP125221.1,5,4,3,1
NZ_CP125222.1,2,1,1,0
NZ_CP104852.1,15,18,15,3
NZ_CP104853.1,3,3,2,1
NZ_CP059120.1,27,24,18,6
NZ_CP059121.1,1,1,0,1
NZ_CP094522.1,6,6,2,4
NZ_CP139357.1,6,11,8,3
NC_023056.1,1,2,1,1
NC_023072.1,1,1,1,0
NZ_AP024783.1,2,0,0,0
NZ_AP024782.1,18,18,10,8
NZ_CP133851.1,2,2,2,0
NZ_CP133849.1,4,4,4,0
NZ_CP133848.1,29,27,27,0
NZ_CP058558.1,1,0,0,0
NZ_CP132630.1,15,23,11,12
NZ_CP014378.1,2,3,1,2
NZ_CP061651.1,5,10,7,3
NZ_CP054841.1,2,3,0,3
NZ_CP054842.1,19,15,6,9
NZ_CP124895.1,2,2,0,2
NZ_CP124896.1,2,1,1,0
NZ_AP025489.1,1,1,1,0
NZ_CP017375.1,6,6,6,0
NZ_CP017376.1,4,4,1,3
NZ_CP017377.1,1,1,0,1
NZ_CP017378.1,1,1,1,0
NZ_CP045998.1,10,8,6,2
NZ_CP045999.1,11,18,7,11
NZ_CP017584.1,2,1,1,0
NZ_CP017585.1,6,4,2,2
NZ_CP017586.1,2,1,0,1
NZ_CP017587.1,9,10,5,5
NZ_CP017588.1,15,11,9,2
NZ_CP017589.1,7,14,5,9
NZ_CP017590.1,35,22,14,8
NZ_CP017591.1,27,19,17,2
NZ_CP126832.1,31,28,24,4
NZ_CP126833.1,4,4,4,0
NZ_CP010312.1,14,8,5,3
NZ_CP058620.1,6,7,7,0
NZ_CP058622.1,3,3,3,0
NZ_CP058621.1,4,5,3,2
NZ_CP043846.1,2,2,0,2
NZ_CP055317.1,21,25,19,6
NZ_CP055316.1,23,21,17,4
NZ_CP055318.1,10,10,8,2
NZ_CP055319.1,1,1,0,1
NZ_AP024586.1,6,5,5,0
NZ_AP024587.1,3,7,4,3
NZ_CP030367.1,2,2,2,0
NZ_CP030365.1,1,2,0,2
NZ_CP084348.1,2,0,0,0
NZ_CP093393.1,1,1,1,0
NZ_CP049914.1,17,13,4,9
NZ_AP026421.1,9,9,7,2
NZ_AP026422.1,7,8,6,2
NZ_AP026423.1,20,21,19,2
NZ_AP026424.1,4,2,2,0
NZ_AP026425.1,11,10,8,2
NZ_AP026427.1,1,1,1,0
NZ_CP077964.1,23,19,17,2
NZ_AP024193.1,1,0,0,0
NZ_CP032614.1,16,24,20,4
NZ_CP032609.1,20,18,16,2
NZ_CP032611.1,1,2,0,2
NZ_CP121836.1,2,4,4,0
NZ_CP087143.1,21,29,16,13
NZ_CP087144.1,11,12,9,3
NZ_CP087145.1,7,9,6,3
NZ_CP132710.1,18,21,17,4
NZ_CP132711.1,24,28,18,10
NZ_CP132712.1,13,9,5,4
NZ_CP141582.1,12,16,13,3
NZ_CP141584.1,6,5,3,2
NZ_CP141585.1,7,3,3,0
NZ_CP133664.1,2,0,0,0
NZ_CP020072.1,18,20,14,6
NZ_CP020073.1,7,7,4,3
NZ_CP020074.1,2,2,2,0
NZ_CP020075.1,5,2,2,0
NZ_LT603679.1,22,44,23,21
NZ_LT603681.1,11,14,11,3
